"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","3.04","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","40970455","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","17113978","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","9693908","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","7420070","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2025","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","23856477","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","2.58","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","39761128","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","16598977","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","9549819","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","7049158","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2024","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","23162151","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","-.21","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","38760771","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","16108777","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","8975069","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","7133708","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2023","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","22651994","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","6.18","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","38843260","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","16200230","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","8778647","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","7421583","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2022","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","22643030","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","5.77","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","36582482","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","15359479","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","8424041","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","6935438","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2021","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","21223003","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","-.94","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","34586665","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","14547827","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","8137860","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","6409967","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2020","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","20038838","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","3.12","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","34916041","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","14631971","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","7831296","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","6800675","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2019","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","20284070","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","6.1","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","33859620","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","14542296","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","7758432","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","6783864","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2018","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","19317324","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","4.61","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","31914207","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","13682195","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","7468900","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00130000","............b. Industrial Sector","6213295","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2017","TS_GP_RLS_PAKGDP15_Y.GDP00140000","......2 Services Sector","18232012","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2016","TS_GP_RLS_PAKGDP15_Y.GDP00160000","A. Growth Rate of Real Gross Domestic Product","4.07","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2016","TS_GP_RLS_PAKGDP15_Y.GDP00150000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)): (1+2)","30508205","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2016","TS_GP_RLS_PAKGDP15_Y.GDP00110000","......1 Commodity Producing Sector (a+b)","13246592","Million PKR","Normal","","300","Commodity Producing Sector (a+b)"
"Gross Domestic Product of Pakistan at constant basic prices of 2015-16","30-Jun-2016","TS_GP_RLS_PAKGDP15_Y.GDP00120000","............a. Agricultural Sector","7306957","Million PKR","Normal","","400","Agricultural Sector"
