Date,Series_Name,Value,Unit
2016-09-30,Growth Rate Agriculture Sector,1.95,Percent
2016-12-31,Growth Rate Agriculture Sector,0.49,Percent
2017-03-31,Growth Rate Agriculture Sector,2.81,Percent
2017-06-30,Growth Rate Agriculture Sector,3.64,Percent
2017-09-30,Growth Rate Agriculture Sector,4.28,Percent
2017-12-31,Growth Rate Agriculture Sector,3.18,Percent
2018-03-31,Growth Rate Agriculture Sector,3.91,Percent
2018-06-30,Growth Rate Agriculture Sector,4.12,Percent
2018-09-30,Growth Rate Agriculture Sector,0.88,Percent
2018-12-31,Growth Rate Agriculture Sector,1.16,Percent
2019-03-31,Growth Rate Agriculture Sector,1.23,Percent
2019-06-30,Growth Rate Agriculture Sector,0.5,Percent
2019-09-30,Growth Rate Agriculture Sector,3.49,Percent
2019-12-31,Growth Rate Agriculture Sector,4.48,Percent
2020-03-31,Growth Rate Agriculture Sector,4.45,Percent
2020-06-30,Growth Rate Agriculture Sector,3.27,Percent
2020-09-30,Growth Rate Agriculture Sector,3.6,Percent
2020-12-31,Growth Rate Agriculture Sector,3.63,Percent
2021-03-31,Growth Rate Agriculture Sector,4.4,Percent
2021-06-30,Growth Rate Agriculture Sector,2.46,Percent
2021-09-30,Growth Rate Agriculture Sector,4.51,Percent
2021-12-31,Growth Rate Agriculture Sector,3.76,Percent
2022-03-31,Growth Rate Agriculture Sector,4.21,Percent
2022-06-30,Growth Rate Agriculture Sector,4.34,Percent
2022-09-30,Growth Rate Agriculture Sector,0.1,Percent
2022-12-31,Growth Rate Agriculture Sector,3.4,Percent
2023-03-31,Growth Rate Agriculture Sector,3.93,Percent
2023-06-30,Growth Rate Agriculture Sector,1.61,Percent
2023-09-30,Growth Rate Agriculture Sector,8.27,Percent
2023-12-31,Growth Rate Agriculture Sector,5.95,Percent
2024-03-31,Growth Rate Agriculture Sector,3.99,Percent
2024-06-30,Growth Rate Agriculture Sector,7.41,Percent
2024-09-30,Growth Rate Agriculture Sector,1.55,Percent
2024-12-31,Growth Rate Agriculture Sector,1.97,Percent
2025-03-31,Growth Rate Agriculture Sector,2.36,Percent
2025-06-30,Growth Rate Agriculture Sector,0.18,Percent
