Date,Series_Name,Value,Unit
2001-07-31,Real Effective Exchange Rate Base 2010,93.4135564,Index
2001-07-31,Nominal Effective Exchange Rate Base 2010,163.87,Index
2001-08-31,NEER : Percentage Change over  Month,-1.171660463,Percent
2001-08-31,Nominal Effective Exchange Rate Base 2010,161.95,Index
2001-08-31,REER : Percentage Change over Month,-0.747212937,Percent
2001-08-31,Real Effective Exchange Rate Base 2010,92.71555822,Index
2001-09-30,Nominal Effective Exchange Rate Base 2010,161.39,Index
2001-09-30,REER : Percentage Change over Month,-0.66029316,Percent
2001-09-30,NEER : Percentage Change over  Month,-0.345785736,Percent
2001-09-30,Real Effective Exchange Rate Base 2010,92.10336373,Index
2001-10-31,REER : Percentage Change over Month,3.470930441,Percent
2001-10-31,NEER : Percentage Change over  Month,3.222008799,Percent
2001-10-31,Real Effective Exchange Rate Base 2010,95.30020742,Index
2001-10-31,Nominal Effective Exchange Rate Base 2010,166.59,Index
2001-11-30,REER : Percentage Change over Month,2.708536384,Percent
2001-11-30,NEER : Percentage Change over  Month,2.395101747,Percent
2001-11-30,Real Effective Exchange Rate Base 2010,97.88144821,Index
2001-11-30,Nominal Effective Exchange Rate Base 2010,170.58,Index
2001-12-31,Nominal Effective Exchange Rate Base 2010,172.52,Index
2001-12-31,REER : Percentage Change over Month,0.531908844,Percent
2001-12-31,NEER : Percentage Change over  Month,1.137296283,Percent
2001-12-31,Real Effective Exchange Rate Base 2010,98.40208829,Index
2002-01-31,REER : Percentage Change over Month,0.593997018,Percent
2002-01-31,NEER : Percentage Change over  Month,0.805703687,Percent
2002-01-31,Real Effective Exchange Rate Base 2010,98.98659376,Index
2002-01-31,Nominal Effective Exchange Rate Base 2010,173.91,Index
2002-02-28,Nominal Effective Exchange Rate Base 2010,176.25,Index
2002-02-28,REER : Percentage Change over Month,1.251384765,Percent
2002-02-28,NEER : Percentage Change over  Month,1.345523547,Percent
2002-02-28,Real Effective Exchange Rate Base 2010,100.2252969,Index
2002-03-31,REER : Percentage Change over Month,0.788517237,Percent
2002-03-31,NEER : Percentage Change over  Month,-0.346099291,Percent
2002-03-31,Real Effective Exchange Rate Base 2010,101.0155907,Index
2002-03-31,Nominal Effective Exchange Rate Base 2010,175.64,Index
2002-04-30,REER : Percentage Change over Month,-0.535044816,Percent
2002-04-30,NEER : Percentage Change over  Month,-0.512411751,Percent
2002-04-30,Real Effective Exchange Rate Base 2010,100.475112,Index
2002-04-30,Nominal Effective Exchange Rate Base 2010,174.74,Index
2002-05-31,REER : Percentage Change over Month,-2.227486105,Percent
2002-05-31,NEER : Percentage Change over  Month,-1.459310976,Percent
2002-05-31,Real Effective Exchange Rate Base 2010,98.23704282,Index
2002-05-31,Nominal Effective Exchange Rate Base 2010,172.19,Index
