Date,Series_Name,Value,Unit
2003-07-31,Other Exports,35935.177,Thousand USD
2003-08-31,Other Exports,45402.186,Thousand USD
2003-09-30,Other Exports,137745.754,Thousand USD
2003-10-31,Other Exports,60143.716,Thousand USD
2003-11-30,Other Exports,128174.174,Thousand USD
2003-12-31,Other Exports,14696.722,Thousand USD
2004-01-31,Other Exports,132639.3,Thousand USD
2004-02-29,Other Exports,54349.911,Thousand USD
2004-03-31,Other Exports,60459.088,Thousand USD
2004-04-30,Other Exports,105528.468,Thousand USD
2004-05-31,Other Exports,51342.511,Thousand USD
2004-06-30,Other Exports,31300.369,Thousand USD
2004-07-31,Other Exports,-25986.945,Thousand USD
2004-08-31,Other Exports,75600.397,Thousand USD
2004-09-30,Other Exports,131517.592,Thousand USD
2004-10-31,Other Exports,-4700.15,Thousand USD
2004-11-30,Other Exports,106300.464,Thousand USD
2004-12-31,Other Exports,53400.061,Thousand USD
2005-01-31,Other Exports,92700.177,Thousand USD
2005-02-28,Other Exports,101400.495,Thousand USD
2005-03-31,Other Exports,158999.827,Thousand USD
2005-04-30,Other Exports,36999.955,Thousand USD
2005-05-31,Other Exports,97599.736,Thousand USD
2005-06-30,Other Exports,146900.415,Thousand USD
2005-07-31,Other Exports,85700.096,Thousand USD
2005-08-31,Other Exports,168899.884,Thousand USD
2005-09-30,Other Exports,104000.054,Thousand USD
2005-10-31,Other Exports,133400.255,Thousand USD
2005-11-30,Other Exports,104099.9,Thousand USD
2005-12-31,Other Exports,200199.861,Thousand USD
2006-01-31,Other Exports,86900.038,Thousand USD
2006-02-28,Other Exports,174399.99,Thousand USD
2006-03-31,Other Exports,158099.559,Thousand USD
2006-04-30,Other Exports,187999.815,Thousand USD
2006-05-31,Other Exports,204899.66,Thousand USD
2006-06-30,Other Exports,146299.993,Thousand USD
2006-07-31,Other Exports,148699.879,Thousand USD
2006-08-31,Other Exports,72000.38,Thousand USD
2006-09-30,Other Exports,131200.421,Thousand USD
2006-10-31,Other Exports,98999.502,Thousand USD
2006-11-30,Other Exports,123100.126,Thousand USD
2006-12-31,Other Exports,214999.52,Thousand USD
2007-01-31,Other Exports,-40599.669,Thousand USD
2007-02-28,Other Exports,149000.0,Thousand USD
2007-03-31,Other Exports,115000.0,Thousand USD
2007-04-30,Other Exports,157700.349,Thousand USD
2007-05-31,Other Exports,141299.879,Thousand USD
2007-06-30,Other Exports,154800.0,Thousand USD
2007-07-31,Other Exports,130040.0,Thousand USD
2007-08-31,Other Exports,137924.0,Thousand USD
2007-09-30,Other Exports,148731.0,Thousand USD
2007-10-31,Other Exports,163840.0,Thousand USD
2007-11-30,Other Exports,94633.0,Thousand USD
2007-12-31,Other Exports,208007.0,Thousand USD
2008-01-31,Other Exports,135768.0,Thousand USD
2008-02-29,Other Exports,201161.0,Thousand USD
2008-03-31,Other Exports,333950.0,Thousand USD
2008-04-30,Other Exports,257489.0,Thousand USD
2008-05-31,Other Exports,291238.0,Thousand USD
2008-06-30,Other Exports,221643.0,Thousand USD
2008-07-31,Other Exports,77908.0,Thousand USD
2008-08-31,Other Exports,72595.0,Thousand USD
2008-09-30,Other Exports,335993.0,Thousand USD
2008-10-31,Other Exports,-51000.0,Thousand USD
2008-11-30,Other Exports,236900.0,Thousand USD
2008-12-31,Other Exports,153145.0,Thousand USD
2009-01-31,Other Exports,-61719.0,Thousand USD
2009-02-28,Other Exports,166377.0,Thousand USD
2009-03-31,Other Exports,95100.0,Thousand USD
2009-04-30,Other Exports,161900.0,Thousand USD
2009-05-31,Other Exports,172400.0,Thousand USD
2009-06-30,Other Exports,365000.0,Thousand USD
2009-07-31,Other Exports,69600.0,Thousand USD
2009-08-31,Other Exports,94900.0,Thousand USD
2009-09-30,Other Exports,109600.0,Thousand USD
2009-10-31,Other Exports,31010.0,Thousand USD
2009-11-30,Other Exports,106500.0,Thousand USD
2009-12-31,Other Exports,-128960.0,Thousand USD
2010-01-31,Other Exports,68300.0,Thousand USD
2010-02-28,Other Exports,129300.0,Thousand USD
2010-03-31,Other Exports,73800.0,Thousand USD
2010-04-30,Other Exports,82700.0,Thousand USD
2010-05-31,Other Exports,88100.0,Thousand USD
