Date,Series_Name,Value,Unit
2005-07-31,Exports of Goods & Services,1512.0,Million USD
2005-08-31,Exports of Goods & Services,1568.0,Million USD
2005-09-30,Exports of Goods & Services,1863.0,Million USD
2005-10-31,Exports of Goods & Services,1527.0,Million USD
2005-11-30,Exports of Goods & Services,1420.0,Million USD
2005-12-31,Exports of Goods & Services,2043.0,Million USD
2006-01-31,Exports of Goods & Services,1465.0,Million USD
2006-02-28,Exports of Goods & Services,1523.0,Million USD
2006-03-31,Exports of Goods & Services,1822.0,Million USD
2006-04-30,Exports of Goods & Services,1856.0,Million USD
2006-05-31,Exports of Goods & Services,1756.0,Million USD
2006-06-30,Exports of Goods & Services,1957.0,Million USD
2006-07-31,Exports of Goods & Services,1559.0,Million USD
2006-08-31,Exports of Goods & Services,1644.0,Million USD
2006-09-30,Exports of Goods & Services,1631.0,Million USD
2006-10-31,Exports of Goods & Services,1651.0,Million USD
2006-11-30,Exports of Goods & Services,1909.0,Million USD
2006-12-31,Exports of Goods & Services,1767.0,Million USD
2007-01-31,Exports of Goods & Services,1696.0,Million USD
2007-02-28,Exports of Goods & Services,1642.0,Million USD
2007-03-31,Exports of Goods & Services,1802.0,Million USD
2007-04-30,Exports of Goods & Services,1783.0,Million USD
2007-05-31,Exports of Goods & Services,1886.0,Million USD
2007-06-30,Exports of Goods & Services,2438.0,Million USD
2007-07-31,Exports of Goods & Services,1733.0,Million USD
2007-08-31,Exports of Goods & Services,1792.0,Million USD
2007-09-30,Exports of Goods & Services,1697.0,Million USD
2007-10-31,Exports of Goods & Services,1851.0,Million USD
2007-11-30,Exports of Goods & Services,1787.0,Million USD
2007-12-31,Exports of Goods & Services,1839.0,Million USD
2008-01-31,Exports of Goods & Services,1860.0,Million USD
2008-02-29,Exports of Goods & Services,2129.0,Million USD
2008-03-31,Exports of Goods & Services,2170.0,Million USD
2008-04-30,Exports of Goods & Services,2224.0,Million USD
2008-05-31,Exports of Goods & Services,2253.0,Million USD
2008-06-30,Exports of Goods & Services,2677.0,Million USD
2008-07-31,Exports of Goods & Services,2240.5,Million USD
2008-08-31,Exports of Goods & Services,1973.0,Million USD
2008-09-30,Exports of Goods & Services,2627.0,Million USD
2008-10-31,Exports of Goods & Services,1692.0,Million USD
2008-11-30,Exports of Goods & Services,1826.0,Million USD
2008-12-31,Exports of Goods & Services,1801.0,Million USD
2009-01-31,Exports of Goods & Services,1629.0,Million USD
2009-02-28,Exports of Goods & Services,1696.0,Million USD
2009-03-31,Exports of Goods & Services,1678.0,Million USD
2009-04-30,Exports of Goods & Services,1768.0,Million USD
2009-05-31,Exports of Goods & Services,2177.0,Million USD
2009-06-30,Exports of Goods & Services,2105.0,Million USD
2009-07-31,Exports of Goods & Services,1830.0,Million USD
2009-08-31,Exports of Goods & Services,1794.0,Million USD
2009-09-30,Exports of Goods & Services,1887.0,Million USD
2009-10-31,Exports of Goods & Services,1995.0,Million USD
2009-11-30,Exports of Goods & Services,1766.0,Million USD
2009-12-31,Exports of Goods & Services,1988.0,Million USD
2010-01-31,Exports of Goods & Services,1882.0,Million USD
2010-02-28,Exports of Goods & Services,2170.0,Million USD
2010-03-31,Exports of Goods & Services,2145.0,Million USD
2010-04-30,Exports of Goods & Services,2441.0,Million USD
2010-05-31,Exports of Goods & Services,2804.0,Million USD
2010-06-30,Exports of Goods & Services,2191.0,Million USD
2010-07-31,Exports of Goods & Services,1969.0,Million USD
2010-08-31,Exports of Goods & Services,2175.0,Million USD
2010-09-30,Exports of Goods & Services,2193.0,Million USD
2010-10-31,Exports of Goods & Services,2260.0,Million USD
2010-11-30,Exports of Goods & Services,2478.0,Million USD
2010-12-31,Exports of Goods & Services,3348.0,Million USD
2011-01-31,Exports of Goods & Services,2392.0,Million USD
2011-02-28,Exports of Goods & Services,2633.0,Million USD
2011-03-31,Exports of Goods & Services,2870.0,Million USD
2011-04-30,Exports of Goods & Services,3049.0,Million USD
2011-05-31,Exports of Goods & Services,2647.0,Million USD
2011-06-30,Exports of Goods & Services,3100.0,Million USD
2011-07-31,Exports of Goods & Services,2508.0,Million USD
2011-08-31,Exports of Goods & Services,2550.0,Million USD
2011-09-30,Exports of Goods & Services,2321.0,Million USD
2011-10-31,Exports of Goods & Services,2476.0,Million USD
2011-11-30,Exports of Goods & Services,2298.0,Million USD
2011-12-31,Exports of Goods & Services,2589.0,Million USD
2012-01-31,Exports of Goods & Services,2310.0,Million USD
2012-02-29,Exports of Goods & Services,2586.0,Million USD
2012-03-31,Exports of Goods & Services,2593.0,Million USD
2012-04-30,Exports of Goods & Services,2488.0,Million USD
2012-05-31,Exports of Goods & Services,2530.0,Million USD
2012-06-30,Exports of Goods & Services,2482.0,Million USD
2012-07-31,Exports of Goods & Services,2369.0,Million USD
2012-08-31,Exports of Goods & Services,3531.0,Million USD
2012-09-30,Exports of Goods & Services,2424.0,Million USD
2012-10-31,Exports of Goods & Services,2608.0,Million USD
2012-11-30,Exports of Goods & Services,2370.0,Million USD
2012-12-31,Exports of Goods & Services,3083.0,Million USD
2013-01-31,Exports of Goods & Services,2464.0,Million USD
2013-02-28,Exports of Goods & Services,2296.0,Million USD
2013-03-31,Exports of Goods & Services,2633.0,Million USD
2013-04-30,Exports of Goods & Services,2625.0,Million USD
2013-05-31,Exports of Goods & Services,2644.0,Million USD
2013-06-30,Exports of Goods & Services,2479.0,Million USD
2013-07-31,Exports of Goods & Services,2537.0,Million USD
2013-08-31,Exports of Goods & Services,2314.0,Million USD
2013-09-30,Exports of Goods & Services,2401.0,Million USD
2013-10-31,Exports of Goods & Services,2734.0,Million USD
2013-11-30,Exports of Goods & Services,2161.0,Million USD
2013-12-31,Exports of Goods & Services,2755.0,Million USD
2014-01-31,Exports of Goods & Services,2476.0,Million USD
2014-02-28,Exports of Goods & Services,2725.0,Million USD
2014-03-31,Exports of Goods & Services,2474.0,Million USD
2014-04-30,Exports of Goods & Services,2480.0,Million USD
2014-05-31,Exports of Goods & Services,2891.0,Million USD
2014-06-30,Exports of Goods & Services,2475.0,Million USD
2014-07-31,Exports of Goods & Services,2278.0,Million USD
2014-08-31,Exports of Goods & Services,2571.0,Million USD
2014-09-30,Exports of Goods & Services,2854.0,Million USD
2014-10-31,Exports of Goods & Services,2489.0,Million USD
2014-11-30,Exports of Goods & Services,2171.0,Million USD
2014-12-31,Exports of Goods & Services,2710.0,Million USD
2015-01-31,Exports of Goods & Services,2324.0,Million USD
2015-02-28,Exports of Goods & Services,2896.0,Million USD
2015-03-31,Exports of Goods & Services,2487.0,Million USD
2015-04-30,Exports of Goods & Services,2470.0,Million USD
2015-05-31,Exports of Goods & Services,2198.0,Million USD
2015-06-30,Exports of Goods & Services,2514.0,Million USD
2015-07-31,Exports of Goods & Services,2474.0,Million USD
2015-08-31,Exports of Goods & Services,2079.0,Million USD
2015-09-30,Exports of Goods & Services,2532.0,Million USD
2015-10-31,Exports of Goods & Services,2178.0,Million USD
2015-11-30,Exports of Goods & Services,2061.0,Million USD
2015-12-31,Exports of Goods & Services,2391.0,Million USD
2016-01-31,Exports of Goods & Services,2046.0,Million USD
2016-02-29,Exports of Goods & Services,2215.0,Million USD
2016-03-31,Exports of Goods & Services,2436.0,Million USD
2016-04-30,Exports of Goods & Services,2412.0,Million USD
2016-05-31,Exports of Goods & Services,2320.0,Million USD
2016-06-30,Exports of Goods & Services,2284.0,Million USD
2016-07-31,Exports of Goods & Services,1857.0,Million USD
2016-08-31,Exports of Goods & Services,2292.0,Million USD
2016-09-30,Exports of Goods & Services,2132.0,Million USD
2016-10-31,Exports of Goods & Services,2220.0,Million USD
2016-11-30,Exports of Goods & Services,2273.0,Million USD
2016-12-31,Exports of Goods & Services,2382.0,Million USD
2017-01-31,Exports of Goods & Services,2239.0,Million USD
2017-02-28,Exports of Goods & Services,2558.0,Million USD
2017-03-31,Exports of Goods & Services,2876.0,Million USD
2017-04-30,Exports of Goods & Services,2283.0,Million USD
2017-05-31,Exports of Goods & Services,2427.0,Million USD
2017-06-30,Exports of Goods & Services,2379.0,Million USD
2017-07-31,Exports of Goods & Services,2232.0,Million USD
2017-08-31,Exports of Goods & Services,2547.0,Million USD
2017-09-30,Exports of Goods & Services,2261.0,Million USD
2017-10-31,Exports of Goods & Services,2423.0,Million USD
2017-11-30,Exports of Goods & Services,2665.0,Million USD
2017-12-31,Exports of Goods & Services,2601.0,Million USD
2018-01-31,Exports of Goods & Services,2560.0,Million USD
2018-02-28,Exports of Goods & Services,2560.0,Million USD
2018-03-31,Exports of Goods & Services,2799.0,Million USD
2018-04-30,Exports of Goods & Services,2677.0,Million USD
2018-05-31,Exports of Goods & Services,2771.0,Million USD
2018-06-30,Exports of Goods & Services,2523.0,Million USD
2018-07-31,Exports of Goods & Services,2490.0,Million USD
2018-08-31,Exports of Goods & Services,2574.0,Million USD
2018-09-30,Exports of Goods & Services,2300.0,Million USD
2018-10-31,Exports of Goods & Services,2569.0,Million USD
2018-11-30,Exports of Goods & Services,2376.0,Million USD
2018-12-31,Exports of Goods & Services,2576.0,Million USD
2019-01-31,Exports of Goods & Services,2793.0,Million USD
2019-02-28,Exports of Goods & Services,2360.0,Million USD
2019-03-31,Exports of Goods & Services,2579.0,Million USD
2019-04-30,Exports of Goods & Services,2570.0,Million USD
2019-05-31,Exports of Goods & Services,2791.0,Million USD
2019-06-30,Exports of Goods & Services,2245.0,Million USD
2019-07-31,Exports of Goods & Services,2702.0,Million USD
2019-08-31,Exports of Goods & Services,2326.0,Million USD
2019-09-30,Exports of Goods & Services,2308.0,Million USD
2019-10-31,Exports of Goods & Services,2737.0,Million USD
2019-11-30,Exports of Goods & Services,2577.0,Million USD
2019-12-31,Exports of Goods & Services,2682.0,Million USD
2020-01-31,Exports of Goods & Services,2580.0,Million USD
2020-02-29,Exports of Goods & Services,2465.0,Million USD
2020-03-31,Exports of Goods & Services,2249.0,Million USD
2020-04-30,Exports of Goods & Services,1777.0,Million USD
2020-05-31,Exports of Goods & Services,1620.0,Million USD
2020-06-30,Exports of Goods & Services,1950.0,Million USD
2020-07-31,Exports of Goods & Services,2343.0,Million USD
2020-08-31,Exports of Goods & Services,1865.0,Million USD
2020-09-30,Exports of Goods & Services,2430.0,Million USD
2020-10-31,Exports of Goods & Services,2409.0,Million USD
2020-11-30,Exports of Goods & Services,2754.0,Million USD
2020-12-31,Exports of Goods & Services,2891.0,Million USD
2021-01-31,Exports of Goods & Services,2584.0,Million USD
2021-02-28,Exports of Goods & Services,2669.0,Million USD
2021-03-31,Exports of Goods & Services,3172.0,Million USD
2021-04-30,Exports of Goods & Services,2797.0,Million USD
2021-05-31,Exports of Goods & Services,2600.0,Million USD
2021-06-30,Exports of Goods & Services,3070.0,Million USD
2021-07-31,Exports of Goods & Services,2729.0,Million USD
2021-08-31,Exports of Goods & Services,2896.0,Million USD
2021-09-30,Exports of Goods & Services,3208.0,Million USD
2021-10-31,Exports of Goods & Services,2939.0,Million USD
2021-11-30,Exports of Goods & Services,3319.0,Million USD
2021-12-31,Exports of Goods & Services,3629.0,Million USD
2022-01-31,Exports of Goods & Services,3032.0,Million USD
2022-02-28,Exports of Goods & Services,3450.0,Million USD
2022-03-31,Exports of Goods & Services,3782.0,Million USD
2022-04-30,Exports of Goods & Services,3797.0,Million USD
2022-05-31,Exports of Goods & Services,3020.0,Million USD
2022-06-30,Exports of Goods & Services,3794.0,Million USD
2022-07-31,Exports of Goods & Services,2761.0,Million USD
2022-08-31,Exports of Goods & Services,3340.0,Million USD
2022-09-30,Exports of Goods & Services,3003.0,Million USD
2022-10-31,Exports of Goods & Services,2903.0,Million USD
2022-11-30,Exports of Goods & Services,2997.0,Million USD
2022-12-31,Exports of Goods & Services,3088.0,Million USD
2023-01-31,Exports of Goods & Services,2908.0,Million USD
2023-02-28,Exports of Goods & Services,2790.0,Million USD
2023-03-31,Exports of Goods & Services,3088.0,Million USD
2023-04-30,Exports of Goods & Services,2689.0,Million USD
2023-05-31,Exports of Goods & Services,3203.0,Million USD
2023-06-30,Exports of Goods & Services,2702.0,Million USD
2023-07-31,Exports of Goods & Services,2630.0,Million USD
2023-08-31,Exports of Goods & Services,3032.0,Million USD
2023-09-30,Exports of Goods & Services,2993.0,Million USD
2023-10-31,Exports of Goods & Services,3328.0,Million USD
2023-11-30,Exports of Goods & Services,3327.0,Million USD
2023-12-31,Exports of Goods & Services,3525.0,Million USD
2024-01-31,Exports of Goods & Services,3356.0,Million USD
2024-02-29,Exports of Goods & Services,3154.0,Million USD
2024-03-31,Exports of Goods & Services,3232.0,Million USD
2024-04-30,Exports of Goods & Services,3294.0,Million USD
2024-05-31,Exports of Goods & Services,3712.0,Million USD
2024-06-30,Exports of Goods & Services,3088.0,Million USD
2024-07-31,Exports of Goods & Services,2997.0,Million USD
2024-08-31,Exports of Goods & Services,3060.0,Million USD
2024-09-30,Exports of Goods & Services,3278.0,Million USD
2024-10-31,Exports of Goods & Services,3706.0,Million USD
2024-11-30,Exports of Goods & Services,3455.0,Million USD
2024-12-31,Exports of Goods & Services,3914.0,Million USD
2025-01-31,Exports of Goods & Services,3682.0,Million USD
2025-02-28,Exports of Goods & Services,3304.0,Million USD
2025-03-31,Exports of Goods & Services,3535.0,Million USD
2025-04-30,Exports of Goods & Services,3357.0,Million USD
2025-05-31,Exports of Goods & Services,3168.0,Million USD
2025-06-30,Exports of Goods & Services,3292.0,Million USD
2025-07-31,Exports of Goods & Services,3504.0,Million USD
2025-08-31,Exports of Goods & Services,3173.0,Million USD
2025-09-30,Exports of Goods & Services,3427.0,Million USD
