Date,Series_Name,Value,Unit,Status,Sequence_No
2015-09-30,Agricultural Sector,1877499.0,Million PKR,Normal,300
2015-12-31,Agricultural Sector,1833474.0,Million PKR,Normal,300
2016-03-31,Agricultural Sector,1764238.0,Million PKR,Normal,300
2016-06-30,Agricultural Sector,1831746.0,Million PKR,Normal,300
2016-09-30,Agricultural Sector,1914034.0,Million PKR,Normal,300
2016-12-31,Agricultural Sector,1842507.0,Million PKR,Normal,300
2017-03-31,Agricultural Sector,1813876.0,Million PKR,Normal,300
2017-06-30,Agricultural Sector,1898483.0,Million PKR,Normal,300
2017-09-30,Agricultural Sector,1995927.0,Million PKR,Normal,300
2017-12-31,Agricultural Sector,1901091.0,Million PKR,Normal,300
2018-03-31,Agricultural Sector,1884766.0,Million PKR,Normal,300
2018-06-30,Agricultural Sector,1976648.0,Million PKR,Normal,300
2018-09-30,Agricultural Sector,2013496.0,Million PKR,Normal,300
2018-12-31,Agricultural Sector,1923199.0,Million PKR,Normal,300
2019-03-31,Agricultural Sector,1907976.0,Million PKR,Normal,300
2019-06-30,Agricultural Sector,1986625.0,Million PKR,Normal,300
2019-09-30,Agricultural Sector,2083846.0,Million PKR,Normal,300
2019-12-31,Agricultural Sector,2009413.0,Million PKR,Normal,300
2020-03-31,Agricultural Sector,1992916.0,Million PKR,Normal,300
2020-06-30,Agricultural Sector,2051685.0,Million PKR,Normal,300
2020-09-30,Agricultural Sector,2158876.0,Million PKR,Normal,300
2020-12-31,Agricultural Sector,2082370.0,Million PKR,Normal,300
2021-03-31,Agricultural Sector,2080641.0,Million PKR,Normal,300
2021-06-30,Agricultural Sector,2102154.0,Million PKR,Normal,300
2021-09-30,Agricultural Sector,2256155.0,Million PKR,Normal,300
2021-12-31,Agricultural Sector,2160727.0,Million PKR,Normal,300
2022-03-31,Agricultural Sector,2168280.0,Million PKR,Normal,300
2022-06-30,Agricultural Sector,2193485.0,Million PKR,Normal,300
2022-09-30,Agricultural Sector,2258454.0,Million PKR,Normal,300
2022-12-31,Agricultural Sector,2234274.0,Million PKR,Normal,300
2023-03-31,Agricultural Sector,2253565.0,Million PKR,Normal,300
2023-06-30,Agricultural Sector,2228775.0,Million PKR,Normal,300
2023-09-30,Agricultural Sector,2445255.0,Million PKR,Normal,300
2023-12-31,Agricultural Sector,2367150.0,Million PKR,Normal,300
2024-03-31,Agricultural Sector,2343563.0,Million PKR,Normal,300
2024-06-30,Agricultural Sector,2393848.0,Million PKR,Normal,300
2024-09-30,Agricultural Sector,2483126.0,Million PKR,Normal,300
2024-12-31,Agricultural Sector,2413880.0,Million PKR,Normal,300
2025-03-31,Agricultural Sector,2398776.0,Million PKR,Normal,300
2025-06-30,Agricultural Sector,2398127.0,Million PKR,Normal,300
2015-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7522880.0,Million PKR,Normal,100
2015-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7596654.0,Million PKR,Normal,100
2016-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7716775.0,Million PKR,Normal,100
2016-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7671898.0,Million PKR,Normal,100
2016-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7794205.0,Million PKR,Normal,100
2016-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),7872850.0,Million PKR,Normal,100
2017-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8130528.0,Million PKR,Normal,100
2017-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8116624.0,Million PKR,Normal,100
2017-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8382627.0,Million PKR,Normal,100
2017-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8357131.0,Million PKR,Normal,100
2018-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8584163.0,Million PKR,Normal,100
2018-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8535699.0,Million PKR,Normal,100
2018-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8636060.0,Million PKR,Normal,100
2018-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8543917.0,Million PKR,Normal,100
2019-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8818840.0,Million PKR,Normal,100
2019-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8917225.0,Million PKR,Normal,100
2019-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8820328.0,Million PKR,Normal,100
2019-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8751021.0,Million PKR,Normal,100
2020-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8814127.0,Million PKR,Normal,100
2020-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8201187.0,Million PKR,Normal,100
2020-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),8980451.0,Million PKR,Normal,100
2020-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9141798.0,Million PKR,Normal,100
2021-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9264396.0,Million PKR,Normal,100
2021-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9195837.0,Million PKR,Normal,100
2021-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9555080.0,Million PKR,Normal,100
2021-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9560737.0,Million PKR,Normal,100
2022-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9884984.0,Million PKR,Normal,100
2022-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9842459.0,Million PKR,Normal,100
2022-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9662266.0,Million PKR,Normal,100
2022-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9790404.0,Million PKR,Normal,100
2023-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9778526.0,Million PKR,Normal,100
2023-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9529574.0,Million PKR,Normal,100
2023-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9912512.0,Million PKR,Normal,100
2023-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9988021.0,Million PKR,Normal,100
2024-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),10021015.0,Million PKR,Normal,100
2024-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),9839578.0,Million PKR,Normal,100
2024-09-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),10091023.0,Million PKR,Normal,100
2024-12-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),10181370.0,Million PKR,Normal,100
2025-03-31,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),10301077.0,Million PKR,Normal,100
2025-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),10396983.0,Million PKR,Normal,100
2016-09-30,Growth Rate of Agriculture Sector,1.95,Percent,Normal,400
2016-12-31,Growth Rate of Agriculture Sector,0.49,Percent,Normal,400
2017-03-31,Growth Rate of Agriculture Sector,2.81,Percent,Normal,400
2017-06-30,Growth Rate of Agriculture Sector,3.64,Percent,Normal,400
2017-09-30,Growth Rate of Agriculture Sector,4.28,Percent,Normal,400
2017-12-31,Growth Rate of Agriculture Sector,3.18,Percent,Normal,400
2018-03-31,Growth Rate of Agriculture Sector,3.91,Percent,Normal,400
2018-06-30,Growth Rate of Agriculture Sector,4.12,Percent,Normal,400
2018-09-30,Growth Rate of Agriculture Sector,0.88,Percent,Normal,400
2018-12-31,Growth Rate of Agriculture Sector,1.16,Percent,Normal,400
2019-03-31,Growth Rate of Agriculture Sector,1.23,Percent,Normal,400
2019-06-30,Growth Rate of Agriculture Sector,0.5,Percent,Normal,400
2019-09-30,Growth Rate of Agriculture Sector,3.49,Percent,Normal,400
2019-12-31,Growth Rate of Agriculture Sector,4.48,Percent,Normal,400
2020-03-31,Growth Rate of Agriculture Sector,4.45,Percent,Normal,400
2020-06-30,Growth Rate of Agriculture Sector,3.27,Percent,Normal,400
2020-09-30,Growth Rate of Agriculture Sector,3.6,Percent,Normal,400
2020-12-31,Growth Rate of Agriculture Sector,3.63,Percent,Normal,400
2021-03-31,Growth Rate of Agriculture Sector,4.4,Percent,Normal,400
2021-06-30,Growth Rate of Agriculture Sector,2.46,Percent,Normal,400
2021-09-30,Growth Rate of Agriculture Sector,4.51,Percent,Normal,400
2021-12-31,Growth Rate of Agriculture Sector,3.76,Percent,Normal,400
2022-03-31,Growth Rate of Agriculture Sector,4.21,Percent,Normal,400
2022-06-30,Growth Rate of Agriculture Sector,4.34,Percent,Normal,400
2022-09-30,Growth Rate of Agriculture Sector,0.1,Percent,Normal,400
2022-12-31,Growth Rate of Agriculture Sector,3.4,Percent,Normal,400
2023-03-31,Growth Rate of Agriculture Sector,3.93,Percent,Normal,400
2023-06-30,Growth Rate of Agriculture Sector,1.61,Percent,Normal,400
2023-09-30,Growth Rate of Agriculture Sector,8.27,Percent,Normal,400
2023-12-31,Growth Rate of Agriculture Sector,5.95,Percent,Normal,400
2024-03-31,Growth Rate of Agriculture Sector,3.99,Percent,Normal,400
2024-06-30,Growth Rate of Agriculture Sector,7.41,Percent,Normal,400
2024-09-30,Growth Rate of Agriculture Sector,1.55,Percent,Normal,400
2024-12-31,Growth Rate of Agriculture Sector,1.97,Percent,Normal,400
2025-03-31,Growth Rate of Agriculture Sector,2.36,Percent,Normal,400
2025-06-30,Growth Rate of Agriculture Sector,0.18,Percent,Normal,400
2016-09-30,Growth Rate of Industry Sector,3.2,Percent,Normal,600
2016-12-31,Growth Rate of Industry Sector,4.73,Percent,Normal,600
2017-03-31,Growth Rate of Industry Sector,6.03,Percent,Normal,600
2017-06-30,Growth Rate of Industry Sector,4.41,Percent,Normal,600
2017-09-30,Growth Rate of Industry Sector,9.62,Percent,Normal,600
2017-12-31,Growth Rate of Industry Sector,8.76,Percent,Normal,600
2018-03-31,Growth Rate of Industry Sector,7.25,Percent,Normal,600
2018-06-30,Growth Rate of Industry Sector,11.2,Percent,Normal,600
2018-09-30,Growth Rate of Industry Sector,5.86,Percent,Normal,600
2018-12-31,Growth Rate of Industry Sector,-1.41,Percent,Normal,600
2019-03-31,Growth Rate of Industry Sector,-2.73,Percent,Normal,600
2019-06-30,Growth Rate of Industry Sector,-0.55,Percent,Normal,600
2019-09-30,Growth Rate of Industry Sector,-2.49,Percent,Normal,600
2019-12-31,Growth Rate of Industry Sector,1.37,Percent,Normal,600
2020-03-31,Growth Rate of Industry Sector,-0.56,Percent,Normal,600
2020-06-30,Growth Rate of Industry Sector,-20.88,Percent,Normal,600
2020-09-30,Growth Rate of Industry Sector,0.36,Percent,Normal,600
2020-12-31,Growth Rate of Industry Sector,5.33,Percent,Normal,600
2021-03-31,Growth Rate of Industry Sector,3.76,Percent,Normal,600
2021-06-30,Growth Rate of Industry Sector,27.03,Percent,Normal,600
2021-09-30,Growth Rate of Industry Sector,6.51,Percent,Normal,600
2021-12-31,Growth Rate of Industry Sector,2.38,Percent,Normal,600
2022-03-31,Growth Rate of Industry Sector,7.86,Percent,Normal,600
2022-06-30,Growth Rate of Industry Sector,11.26,Percent,Normal,600
2022-09-30,Growth Rate of Industry Sector,-0.6,Percent,Normal,600
2022-12-31,Growth Rate of Industry Sector,1.46,Percent,Normal,600
2023-03-31,Growth Rate of Industry Sector,-6.96,Percent,Normal,600
2023-06-30,Growth Rate of Industry Sector,-8.87,Percent,Normal,600
2023-09-30,Growth Rate of Industry Sector,-4.14,Percent,Normal,600
2023-12-31,Growth Rate of Industry Sector,-0.26,Percent,Normal,600
2024-03-31,Growth Rate of Industry Sector,2.79,Percent,Normal,600
2024-06-30,Growth Rate of Industry Sector,-3.06,Percent,Normal,600
2024-09-30,Growth Rate of Industry Sector,0.32,Percent,Normal,600
2024-12-31,Growth Rate of Industry Sector,0.21,Percent,Normal,600
2025-03-31,Growth Rate of Industry Sector,1.23,Percent,Normal,600
2025-06-30,Growth Rate of Industry Sector,19.95,Percent,Normal,600
2016-09-30,Growth Rate of Real Gross Domestic Product,3.61,Percent,Normal,200
2016-12-31,Growth Rate of Real Gross Domestic Product,3.64,Percent,Normal,200
2017-03-31,Growth Rate of Real Gross Domestic Product,5.36,Percent,Normal,200
2017-06-30,Growth Rate of Real Gross Domestic Product,5.8,Percent,Normal,200
2017-09-30,Growth Rate of Real Gross Domestic Product,7.55,Percent,Normal,200
2017-12-31,Growth Rate of Real Gross Domestic Product,6.15,Percent,Normal,200
2018-03-31,Growth Rate of Real Gross Domestic Product,5.58,Percent,Normal,200
2018-06-30,Growth Rate of Real Gross Domestic Product,5.16,Percent,Normal,200
2018-09-30,Growth Rate of Real Gross Domestic Product,3.02,Percent,Normal,200
2018-12-31,Growth Rate of Real Gross Domestic Product,2.24,Percent,Normal,200
2019-03-31,Growth Rate of Real Gross Domestic Product,2.73,Percent,Normal,200
2019-06-30,Growth Rate of Real Gross Domestic Product,4.47,Percent,Normal,200
2019-09-30,Growth Rate of Real Gross Domestic Product,2.13,Percent,Normal,200
2019-12-31,Growth Rate of Real Gross Domestic Product,2.42,Percent,Normal,200
