Date,Series_Name,Value,Unit
2013-06-30,Net export Goods merchant.-Net,1257.0,Million PKR
2014-06-30,Net export Goods merchant.-Net,1646.0,Million PKR
2015-06-30,Net export Goods merchant.-Net,1317.0,Million PKR
2016-06-30,Net export Goods merchant.-Net,938.0,Million PKR
2017-06-30,Net export Goods merchant.-Net,1361.0,Million PKR
2018-06-30,Net export Goods merchant.-Net,1648.0,Million PKR
2019-06-30,Net export Goods merchant.-Net,2177.0,Million PKR
2020-06-30,Net export Goods merchant.-Net,6321.0,Million PKR
2021-06-30,Net export Goods merchant.-Net,2080.0,Million PKR
2022-06-30,Net export Goods merchant.-Net,1597.0,Million PKR
2023-06-30,Net export Goods merchant.-Net,2232.348833,Million PKR
2024-06-30,Net export Goods merchant.-Net,3677.679942,Million PKR
2025-06-30,Net export Goods merchant.-Net,1955.442783,Million PKR
