Observation Date,Series name,Observation Value,Unit
2025-06-30,Growth Rate of Real Gross Domestic Product,3.04,Percent
2025-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),40970455.0,Million PKR
2025-06-30,Commodity Producing Sector (a+b),17113978.0,Million PKR
2025-06-30,Agricultural Sector,9693908.0,Million PKR
2025-06-30,Industrial Sector,7420070.0,Million PKR
2025-06-30,Services Sector,23856477.0,Million PKR
2024-06-30,Growth Rate of Real Gross Domestic Product,2.58,Percent
2024-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),39761128.0,Million PKR
2024-06-30,Commodity Producing Sector (a+b),16598977.0,Million PKR
2024-06-30,Agricultural Sector,9549819.0,Million PKR
2024-06-30,Industrial Sector,7049158.0,Million PKR
2024-06-30,Services Sector,23162151.0,Million PKR
2023-06-30,Growth Rate of Real Gross Domestic Product,-0.21,Percent
2023-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),38760771.0,Million PKR
2023-06-30,Commodity Producing Sector (a+b),16108777.0,Million PKR
2023-06-30,Agricultural Sector,8975069.0,Million PKR
2023-06-30,Industrial Sector,7133708.0,Million PKR
2023-06-30,Services Sector,22651994.0,Million PKR
2022-06-30,Growth Rate of Real Gross Domestic Product,6.18,Percent
2022-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),38843260.0,Million PKR
2022-06-30,Commodity Producing Sector (a+b),16200230.0,Million PKR
2022-06-30,Agricultural Sector,8778647.0,Million PKR
2022-06-30,Industrial Sector,7421583.0,Million PKR
2022-06-30,Services Sector,22643030.0,Million PKR
2021-06-30,Growth Rate of Real Gross Domestic Product,5.77,Percent
2021-06-30,Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16)),36582482.0,Million PKR
2021-06-30,Commodity Producing Sector (a+b),15359479.0,Million PKR
2021-06-30,Agricultural Sector,8424041.0,Million PKR
