Date,Series_Name,Value,Unit
2003-07-31,Freight & Insurance,75981.006,Thousand USD
2003-08-31,Freight & Insurance,73146.09536,Thousand USD
2003-09-30,Freight & Insurance,84989.28632,Thousand USD
2003-10-31,Freight & Insurance,80644.45984,Thousand USD
2003-11-30,Freight & Insurance,68301.1468,Thousand USD
2003-12-31,Freight & Insurance,101358.5634,Thousand USD
2004-01-31,Freight & Insurance,95135.52456,Thousand USD
2004-02-29,Freight & Insurance,91190.2968,Thousand USD
2004-03-31,Freight & Insurance,93549.99504,Thousand USD
2004-04-30,Freight & Insurance,102375.836,Thousand USD
2004-05-31,Freight & Insurance,96543.9452,Thousand USD
2004-06-30,Freight & Insurance,112566.8757,Thousand USD
2004-07-31,Freight & Insurance,114230.1949,Thousand USD
2004-08-31,Freight & Insurance,104699.4455,Thousand USD
2004-09-30,Freight & Insurance,112237.2605,Thousand USD
2004-10-31,Freight & Insurance,121102.4701,Thousand USD
2004-11-30,Freight & Insurance,134977.7369,Thousand USD
2004-12-31,Freight & Insurance,136775.7034,Thousand USD
2005-01-31,Freight & Insurance,113737.2147,Thousand USD
2005-02-28,Freight & Insurance,122829.0219,Thousand USD
2005-03-31,Freight & Insurance,136834.015,Thousand USD
2005-04-30,Freight & Insurance,122883.2516,Thousand USD
2005-05-31,Freight & Insurance,132320.7638,Thousand USD
2005-06-30,Freight & Insurance,128428.5996,Thousand USD
2005-07-31,Freight & Insurance,120431.2523,Thousand USD
2005-08-31,Freight & Insurance,164061.9052,Thousand USD
2005-09-30,Freight & Insurance,166395.4968,Thousand USD
2005-10-31,Freight & Insurance,166045.1588,Thousand USD
2005-11-30,Freight & Insurance,164880.827,Thousand USD
2005-12-31,Freight & Insurance,153993.5516,Thousand USD
2006-01-31,Freight & Insurance,159567.1953,Thousand USD
2006-02-28,Freight & Insurance,146086.4554,Thousand USD
2006-03-31,Freight & Insurance,169941.4922,Thousand USD
2006-04-30,Freight & Insurance,138332.9455,Thousand USD
2006-05-31,Freight & Insurance,181392.229,Thousand USD
2006-06-30,Freight & Insurance,204266.6589,Thousand USD
2006-07-31,Freight & Insurance,191772.8952,Thousand USD
2006-08-31,Freight & Insurance,182135.6454,Thousand USD
2006-09-30,Freight & Insurance,178558.8136,Thousand USD
2006-10-31,Freight & Insurance,174293.5904,Thousand USD
2006-11-30,Freight & Insurance,176645.3679,Thousand USD
2006-12-31,Freight & Insurance,169453.6762,Thousand USD
2007-01-31,Freight & Insurance,168041.3104,Thousand USD
2007-02-28,Freight & Insurance,164942.1762,Thousand USD
2007-03-31,Freight & Insurance,164224.4467,Thousand USD
2007-04-30,Freight & Insurance,171550.8594,Thousand USD
