Date,Series_Name,Value,Unit
2002-06-30,FDI Outflow,24.722921,Million USD
2003-06-30,FDI Outflow,50.736298,Million USD
2004-06-30,FDI Outflow,74.830928,Million USD
2005-06-30,FDI Outflow,59.837651,Million USD
2006-06-30,FDI Outflow,195.147065,Million USD
2007-06-30,FDI Outflow,262.301912,Million USD
2008-06-30,FDI Outflow,235.124848,Million USD
2009-06-30,FDI Outflow,759.506217,Million USD
2010-06-30,FDI Outflow,1033.539967,Million USD
2011-06-30,FDI Outflow,634.841772,Million USD
2012-06-30,FDI Outflow,1278.315994,Million USD
2013-06-30,FDI Outflow,1208.888025,Million USD
2014-06-30,FDI Outflow,1148.792669,Million USD
2015-06-30,FDI Outflow,1809.115346,Million USD
2016-06-30,FDI Outflow,863.409531,Million USD
2017-06-30,FDI Outflow,704.209404,Million USD
2018-06-30,FDI Outflow,714.225505,Million USD
2019-06-30,FDI Outflow,1422.82428,Million USD
2020-06-30,FDI Outflow,724.553538,Million USD
2021-06-30,FDI Outflow,1240.93999,Million USD
2022-06-30,FDI Outflow,756.571752,Million USD
2023-06-30,FDI Outflow,940.991666,Million USD
2024-06-30,FDI Outflow,818.902056,Million USD
2025-06-30,FDI Outflow,1790.59355,Million USD
