Series Name,Date,Value,Unit
Exports of Services,2005-07-31,341,Million USD
Exports of Services,2005-08-31,200,Million USD
Exports of Services,2005-09-30,532,Million USD
Exports of Services,2005-10-31,195,Million USD
Exports of Services,2005-11-30,200,Million USD
Exports of Services,2005-12-31,561,Million USD
Exports of Services,2006-01-31,196,Million USD
Exports of Services,2006-02-28,217,Million USD
Exports of Services,2006-03-31,267,Million USD
Exports of Services,2006-04-30,393,Million USD
Exports of Services,2006-05-31,216,Million USD
Exports of Services,2006-06-30,422,Million USD
Exports of Services,2006-07-31,202,Million USD
Exports of Services,2006-08-31,225,Million USD
Exports of Services,2006-09-30,215,Million USD
Exports of Services,2006-10-31,383,Million USD
Exports of Services,2006-11-30,483,Million USD
Exports of Services,2006-12-31,256,Million USD
Exports of Services,2007-01-31,507,Million USD
Exports of Services,2007-02-28,254,Million USD
Exports of Services,2007-03-31,231,Million USD
Exports of Services,2007-04-30,284,Million USD
Exports of Services,2007-05-31,270,Million USD
Exports of Services,2007-06-30,797,Million USD
Exports of Services,2007-07-31,205,Million USD
Exports of Services,2007-08-31,213,Million USD
Exports of Services,2007-09-30,187,Million USD
Exports of Services,2007-10-31,225,Million USD
Exports of Services,2007-11-30,242,Million USD
Exports of Services,2007-12-31,313,Million USD
Exports of Services,2008-01-31,200,Million USD
Exports of Services,2008-02-29,483,Million USD
Exports of Services,2008-03-31,308,Million USD
Exports of Services,2008-04-30,286,Million USD
Exports of Services,2008-05-31,236,Million USD
Exports of Services,2008-06-30,666,Million USD
Exports of Services,2008-07-31,260,Million USD
Exports of Services,2008-08-31,202,Million USD
Exports of Services,2008-09-30,667,Million USD
Exports of Services,2008-10-31,327,Million USD
Exports of Services,2008-11-30,251,Million USD
Exports of Services,2008-12-31,363,Million USD
Exports of Services,2009-01-31,347,Million USD
Exports of Services,2009-02-28,197,Million USD
Exports of Services,2009-03-31,224,Million USD
Exports of Services,2009-04-30,271,Million USD
Exports of Services,2009-05-31,681,Million USD
Exports of Services,2009-06-30,297,Million USD
Exports of Services,2009-07-31,271,Million USD
Exports of Services,2009-08-31,323,Million USD
Exports of Services,2009-09-30,281,Million USD
Exports of Services,2009-10-31,363,Million USD
Exports of Services,2009-11-30,333,Million USD
Exports of Services,2009-12-31,369,Million USD
Exports of Services,2010-01-31,246,Million USD
Exports of Services,2010-02-28,627,Million USD
Exports of Services,2010-03-31,289,Million USD
Exports of Services,2010-04-30,622,Million USD
Exports of Services,2010-05-31,1087,Million USD
Exports of Services,2010-06-30,402,Million USD
Exports of Services,2010-07-31,315,Million USD
Exports of Services,2010-08-31,356,Million USD
Exports of Services,2010-09-30,397,Million USD
Exports of Services,2010-10-31,419,Million USD
Exports of Services,2010-11-30,543,Million USD
Exports of Services,2010-12-31,1272,Million USD
Exports of Services,2011-01-31,353,Million USD
Exports of Services,2011-02-28,373,Million USD
Exports of Services,2011-03-31,393,Million USD
Exports of Services,2011-04-30,478,Million USD
Exports of Services,2011-05-31,408,Million USD
Exports of Services,2011-06-30,438,Million USD
Exports of Services,2011-07-31,370,Million USD
Exports of Services,2011-08-31,429,Million USD
Exports of Services,2011-09-30,426,Million USD
Exports of Services,2011-10-31,506,Million USD
Exports of Services,2011-11-30,398,Million USD
Exports of Services,2011-12-31,533,Million USD
Exports of Services,2012-01-31,336,Million USD
Exports of Services,2012-02-29,432,Million USD
Exports of Services,2012-03-31,451,Million USD
Exports of Services,2012-04-30,350,Million USD
Exports of Services,2012-05-31,351,Million USD
Exports of Services,2012-06-30,431,Million USD
Exports of Services,2012-07-31,349,Million USD
Exports of Services,2012-08-31,1501,Million USD
