Series Name,Date,Value,Unit
Workers Remittances (WR),2005-07-31,313.14,Million USD
Workers Remittances (WR),2005-08-31,348.41,Million USD
Workers Remittances (WR),2005-09-30,341.1,Million USD
Workers Remittances (WR),2005-10-31,372.5,Million USD
Workers Remittances (WR),2005-11-30,308.81,Million USD
Workers Remittances (WR),2005-12-31,371.24,Million USD
Workers Remittances (WR),2006-01-31,391.32,Million USD
Workers Remittances (WR),2006-02-28,358.13,Million USD
Workers Remittances (WR),2006-03-31,423.56,Million USD
Workers Remittances (WR),2006-04-30,401.47,Million USD
Workers Remittances (WR),2006-05-31,506.57,Million USD
Workers Remittances (WR),2006-06-30,463.87,Million USD
Workers Remittances (WR),2006-07-31,377.01,Million USD
Workers Remittances (WR),2006-08-31,434.84,Million USD
Workers Remittances (WR),2006-09-30,421.74,Million USD
Workers Remittances (WR),2006-10-31,410.61,Million USD
Workers Remittances (WR),2006-11-30,448.61,Million USD
Workers Remittances (WR),2006-12-31,475.21,Million USD
Workers Remittances (WR),2007-01-31,391.33,Million USD
Workers Remittances (WR),2007-02-28,457.18,Million USD
Workers Remittances (WR),2007-03-31,520.24,Million USD
Workers Remittances (WR),2007-04-30,513.35,Million USD
Workers Remittances (WR),2007-05-31,537.98,Million USD
Workers Remittances (WR),2007-06-30,505.55,Million USD
Workers Remittances (WR),2007-07-31,495.69,Million USD
Workers Remittances (WR),2007-08-31,489.51,Million USD
Workers Remittances (WR),2007-09-30,516.05,Million USD
Workers Remittances (WR),2007-10-31,580.24,Million USD
Workers Remittances (WR),2007-11-30,505.58,Million USD
Workers Remittances (WR),2007-12-31,479.26,Million USD
Workers Remittances (WR),2008-01-31,557.07,Million USD
Workers Remittances (WR),2008-02-29,502.76,Million USD
Workers Remittances (WR),2008-03-31,602.21,Million USD
Workers Remittances (WR),2008-04-30,590.71,Million USD
Workers Remittances (WR),2008-05-31,584.75,Million USD
Workers Remittances (WR),2008-06-30,547.41,Million USD
Workers Remittances (WR),2008-07-31,627.21,Million USD
Workers Remittances (WR),2008-08-31,592.3,Million USD
Workers Remittances (WR),2008-09-30,660.35,Million USD
Workers Remittances (WR),2008-10-31,466.13,Million USD
Workers Remittances (WR),2008-11-30,620.52,Million USD
Workers Remittances (WR),2008-12-31,673.5,Million USD
Workers Remittances (WR),2009-01-31,637.3,Million USD
Workers Remittances (WR),2009-02-28,641.32,Million USD
Workers Remittances (WR),2009-03-31,739.43,Million USD
Workers Remittances (WR),2009-04-30,697.52,Million USD
Workers Remittances (WR),2009-05-31,720.68,Million USD
Workers Remittances (WR),2009-06-30,735.17,Million USD
Workers Remittances (WR),2009-07-31,744.85,Million USD
Workers Remittances (WR),2009-08-31,780.53,Million USD
Workers Remittances (WR),2009-09-30,806.12,Million USD
Workers Remittances (WR),2009-10-31,758.29,Million USD
Workers Remittances (WR),2009-11-30,742.79,Million USD
Workers Remittances (WR),2009-12-31,697.6,Million USD
Workers Remittances (WR),2010-01-31,667.9,Million USD
Workers Remittances (WR),2010-02-28,589.03,Million USD
Workers Remittances (WR),2010-03-31,763.71,Million USD
Workers Remittances (WR),2010-04-30,755.77,Million USD
Workers Remittances (WR),2010-05-31,757.86,Million USD
Workers Remittances (WR),2010-06-30,841.44,Million USD
Workers Remittances (WR),2010-07-31,791.18,Million USD
Workers Remittances (WR),2010-08-31,933.06,Million USD
