Stage,Class,Public - Boys,Public - Girls,Public - Total,Other Public - Boys,Other Public - Girls,Other Public - Total,Private - Boys,Private - Girls,Private - Total,Total - Boys,Total - Girls,Total - Total
Pre-Primary,Unadmitted,217483,217385,434868,103385,86064,189449,562822,533752,1096574,883690,837201,1720891
Pre-Primary,Kachi,2208219,2028094,4236313,88977,71868,160845,1743735,1738814,3482549,4040931,3838776,7879707
Pre-Primary,Total,2425702,2245479,4671181,192362,157932,350294,2306557,2272566,4579123,4924621,4675977,9600598
Primary,Class 1,1439273,1308052,2747325,94842,78844,173686,963348,894990,1858338,2497463,2281886,4779349
Primary,Class 2,1334563,1192818,2527381,93894,78908,172802,878852,832627,1711479,2307309,2104353,4411662
Primary,Class 3,1159102,1023194,2182296,75015,64816,139831,817897,781693,1599590,2052014,1869703,3921717
Primary,Class 4,1187437,1040934,2228371,71869,63428,135297,811403,741439,1552842,2070709,1845801,3916510
Primary,Class 5,1174861,1016128,2190989,68813,62645,131458,755818,708233,1464051,1999492,1787006,3786498
Primary,Total,6295236,5581126,11876362,404433,348641,753074,4227318,3958982,8186300,10926987,9888749,20815736
Middle,Class 6,981618,880848,1862466,49345,46786,96131,691230,611891,1303121,1722193,1539525,3261718
Middle,Class 7,921215,820979,1742194,44928,41260,86188,650824,576866,1227690,1616967,1439105,3056072
Middle,Class 8,879244,776929,1656173,45654,36494,82148,613447,538301,1151748,1538345,1351724,2890069
Middle,Total,2782077,2478756,5260833,139927,124540,264467,1955501,1727058,3682559,4877505,4330354,9207859
High,Class 9,793842,645827,1439669,41351,31574,72925,498711,439236,937947,1333904,1116637,2450541
High,Class 10,714538,598100,1312638,42307,32135,74442,454492,407278,861770,1211337,1037513,2248850
High,Total,1508380,1243927,2752307,83658,63709,147367,953203,846514,1799717,2545241,2154150,4699391
Higher Secondary,Class 11,418539,413607,832146,18755,16242,34997,330474,312964,643438,767768,742813,1510581
Higher Secondary,Class 12,347341,314499,661840,18828,17011,35839,342210,274779,616989,708379,606289,1314668
Higher Secondary,Total,765880,728106,1493986,37583,33253,70836,672684,587743,1260427,1476147,1349102,2825249
Grand Total,Grand Total,13777275,12277394,26054669,857963,728075,1586038,10115263,9392863,19508126,24750501,22398332,47148833
