Province/Region,Stage,URBAN - Boys,URBAN - Girls,URBAN - Total,RURAL - Boys,RURAL - Girls,RURAL - Total,TOTAL - Boys,TOTAL - Girls,TOTAL - Total
Punjab,Pre-Primary,101468,85079,186547,64222,53850,118072,165690,138929,304619
Punjab,Primary,196470,176472,372942,124347,111693,236040,320817,288165,608982
Punjab,Middle,59532,57721,117253,36949,36531,73480,96481,94252,190733
Punjab,High,34487,27073,61560,20520,17138,37658,55007,44211,99218
Punjab,Higher Secondary,13594,13079,26673,7707,8278,15985,21301,21357,42658
Punjab,Degree,0,0,0,0,0,0,0,0,0
Punjab,Total,405551,359424,764975,253745,227490,481235,659296,586914,1246210
Sindh,Pre-Primary,6680,4813,11493,1464,1051,2515,8144,5864,14008
Sindh,Primary,25095,18202,43297,5497,3986,9483,30592,22188,52780
Sindh,Middle,12366,8847,21213,2509,1910,4419,14875,10757,25632
Sindh,High,8489,5454,13943,1527,1169,2696,10016,6623,16639
Sindh,Higher Secondary,6041,4742,10783,1085,1027,2112,7126,5769,12895
Sindh,Degree,20,120,140,4,26,30,24,146,170
Sindh,Total,58691,42178,100869,12086,9169,21255,70777,51347,122124
KP,Pre-Primary,3931,2817,6748,3579,2559,6138,7510,5376,12886
KP,Primary,13028,9210,22238,11874,8389,20263,24902,17599,42501
KP,Middle,7961,4859,12820,6376,4424,10800,14337,9283,23620
KP,High,5500,2986,8486,3580,2715,6295,9080,5701,14781
KP,Higher Secondary,2938,1017,3955,1277,918,2195,4215,1935,6150
KP,Degree,0,0,0,0,0,0,0,0,0
KP,Total,33358,20889,54247,26686,19005,45691,60044,39894,99938
Balochistan,Pre-Primary,3077,1914,4991,1266,789,2055,4343,2703,7046
Balochistan,Primary,8208,5244,13452,3374,2152,5526,11582,7396,18978
Balochistan,Middle,4000,2263,6263,1453,862,2315,5453,3125,8578
Balochistan,High,2128,1554,3682,713,510,1223,2841,2064,4905
Balochistan,Higher Secondary,986,616,1602,329,200,529,1315,816,2131
Balochistan,Degree,62,63,125,25,26,51,87,89,176
Balochistan,Total,18461,11654,30115,7160,4539,11699,25621,16193,41814
AJ&K,Pre-Primary,1944,1274,3218,887,581,1468,2831,1855,4686
AJ&K,Primary,4632,3354,7986,2114,1530,3644,6746,4884,11630
AJ&K,Middle,2169,1491,3660,909,679,1588,3078,2170,5248
AJ&K,High,1584,980,2564,560,447,1007,2144,1427,3571
AJ&K,Higher Secondary,800,432,1232,207,198,405,1007,630,1637
AJ&K,Degree,0,0,0,0,0,0,0,0,0
AJ&K,Total,11129,7531,18660,4677,3435,8112,15806,10966,26772
GB,Pre-Primary,48,34,82,585,410,995,633,444,1077
GB,Primary,145,101,246,1745,1230,2975,1890,1331,3221
GB,Middle,201,43,244,818,517,1335,1019,560,1579
GB,High,304,35,339,792,425,1217,1096,460,1556
GB,Higher Secondary,173,20,193,258,245,503,431,265,696
GB,Degree,0,0,0,0,0,0,0,0,0
GB,Total,871,233,1104,4198,2827,7025,5069,3060,8129
ICT,Pre-Primary,2100,1804,3904,1111,957,2068,3211,2761,5972
ICT,Primary,5165,4624,9789,2739,2454,5193,7904,7078,14982
ICT,Middle,3059,2870,5929,1625,1523,3148,4684,4393,9077
ICT,High,2270,2104,4374,1204,1119,2323,3474,3223,6697
ICT,Higher Secondary,1433,1621,3054,755,860,1615,2188,2481,4669
ICT,Degree,0,0,0,0,0,0,0,0,0
ICT,Total,14027,13023,27050,7434,6913,14347,21461,19936,41397
Pakistan,Pre-Primary,119248,97735,216983,73114,60197,133311,192362,157932,350294
Pakistan,Primary,252743,217207,469950,151690,131434,283124,404433,348641,753074
Pakistan,Middle,89288,78094,167382,50639,46446,97085,139927,124540,264467
Pakistan,High,54762,40186,94948,28896,23523,52419,83658,63709,147367
Pakistan,Higher Secondary,25965,21527,47492,11618,11726,23344,37583,33253,70836
Pakistan,Degree,82,183,265,29,52,81,111,235,346
Pakistan,Grand Total,542088,454932,997020,315986,273378,589364,858074,728310,1586384
