Province/Region,Stage,URBAN - Boys,URBAN - Girls,URBAN - Total,RURAL - Boys,RURAL - Girls,RURAL - Total,TOTAL - Boys,TOTAL - Girls,TOTAL - Total
Punjab,Pre Primary,492110,648430,1140540,598416,727270,1325686,1090526,1375700,2466226
Punjab,Primary,955647,1183668,2139315,1071903,1232948,2304851,2027550,2416616,4444166
Punjab,Middle,490132,527591,1017723,456904,513501,970405,947036,1041092,1988128
Punjab,High,263551,276421,539972,155380,204512,359892,418931,480933,899864
Punjab,Higher Secondary,272947,312297,585244,120286,125241,245527,393233,437538,830771
Punjab,Degree,43952,64785,108737,13794,29726,43520,57746,94511,152257
Punjab,Total,2518339,3013192,5531531,2416683,2833198,5249881,4935022,5846390,10781412
Sindh,Pre Primary,387047,348899,735946,115706,68887,184593,502753,417786,920539
Sindh,Primary,736830,664204,1401034,220549,135453,356002,957379,799657,1757036
Sindh,Middle,376254,347044,723298,105558,64828,170386,481812,411872,893684
Sindh,High,204799,191606,396405,57855,36168,94023,262654,227774,490428
Sindh,Higher Secondary,43929,36524,80453,12283,6912,19195,56212,43436,99648
Sindh,Degree,1778,2730,4508,0,0,0,1778,2730,4508
Sindh,Total,1750637,1591007,3341644,511951,312248,824199,2262588,1903255,4165843
KP,Pre Primary,206915,126014,332929,288312,180550,468862,495227,306564,801791
KP,Primary,305637,192196,497833,592907,304882,897789,898544,497078,1395622
KP,Middle,121845,60786,182631,269480,120024,389504,391325,180810,572135
KP,High,73704,36967,110671,136721,55447,192168,210425,92414,302839
KP,Higher Secondary,82686,31292,113978,62929,28683,91612,145615,59975,205590
KP,Degree,12982,13636,26618,8342,733,9075,21324,14369,35693
KP,Total,803769,460891,1264660,1358691,690319,2049010,2162460,1151210,3313670
Balochistan,Pre Primary,68532,32916,101448,0,0,0,68532,32916,101448
Balochistan,Primary,133879,58186,192065,0,0,0,133879,58186,192065
Balochistan,Middle,51336,19940,71276,0,0,0,51336,19940,71276
Balochistan,High,19947,8743,28690,0,0,0,19947,8743,28690
Balochistan,Higher Secondary,3344,1957,5301,0,0,0,3344,1957,5301
Balochistan,Degree,105,156,261,0,0,0,105,156,261
Balochistan,Total,277143,121898,399041,0,0,0,277143,121898,399041
AJ&K*,Pre Primary,24168,23688,47856,51215,50199,101414,75383,73887,149270
AJ&K*,Primary,29183,28603,57786,59433,58252,117685,88616,86855,175471
AJ&K*,Middle,13817,13542,27359,18284,17920,36204,32101,31462,63563
AJ&K*,High,7890,7734,15624,6576,6446,13022,14466,14180,28646
AJ&K*,Higher Secondary,44154,16779,60933,9632,11055,20687,53786,27834,81620
AJ&K*,Degree,105,221,326,89,255,344,194,476,670
AJ&K*,Total,119317,90567,209884,145229,144127,289356,264546,234694,499240
GB,Pre Primary,6295,4755,11050,12725,12083,24808,19020,16838,35858
GB,Primary,11735,7163,18898,25675,18992,44667,37410,26155,63565
GB,Middle,6473,3484,9957,11270,8118,19388,17743,11602,29345
GB,High,3618,1892,5510,4347,4080,8427,7965,5972,13937
GB,Higher Secondary,2684,1041,3725,1317,1615,2932,4001,2656,6657
GB,Degree,0,0,0,0,0,0,0,0,0
GB,Total,30805,18335,49140,55334,44888,100222,86139,63223,149362
ICT,Pre Primary,11784,10449,22233,43332,38426,81758,55116,48875,103991
ICT,Primary,17676,15674,33350,66264,58761,125025,83940,74435,158375
ICT,Middle,7954,7052,15006,26194,23228,49422,34148,30280,64428
ICT,High,5314,4526,9840,13501,11972,25473,18815,16498,35313
ICT,Higher Secondary,7949,6771,14720,8544,7576,16120,16493,14347,30840
ICT,Degree,0,0,0,0,0,0,0,0,0
ICT,Total,50677,44472,95149,157835,139963,297798,208512,184435,392947
Pakistan,Pre Primary,1196851,1195151,2392002,1109706,1077415,2187121,2306557,2272566,4579123
Pakistan,Primary,2190587,2149694,4340281,2036731,1809288,3846019,4227318,3958982,8186300
Pakistan,Middle,1067811,979439,2047250,887690,747619,1635309,1955501,1727058,3682559
Pakistan,High,578823,527889,1106712,374380,318625,693005,953203,846514,1799717
Pakistan,Higher Secondary,457693,406661,864354,214991,181082,396073,672684,587743,1260427
Pakistan,Degree,58922,81528,140450,22225,30714,52939,81147,112242,193389
Pakistan,Grand Total,5550687,5340362,10891049,4645723,4164743,8810466,10196410,9505105,19701515
