Province/Region,Stage,URBAN - Boys,URBAN - Girls,URBAN - Total,RURAL - Boys,RURAL - Girls,RURAL - Total,TOTAL - Boys,TOTAL - Girls,TOTAL - Total
Punjab,Pre Primary,751961,907107,1659068,1476517,1568992,3045509,2228478,2476099,4704577
Punjab,Primary,1653928,1950114,3604042,3365387,3461860,6827247,5019315,5411974,10431289
Punjab,Middle,933097,1072046,2005143,1520124,1612274,3132398,2453221,2684320,5137541
Punjab,High,605863,663633,1269496,648061,642639,1290700,1253924,1306272,2560196
Punjab,Higher Secondary,436262,560825,997087,206783,255009,461792,643045,815834,1458879
Punjab,Degree,87574,191358,278932,23633,57679,81312,111207,249037,360244
Punjab,Total,4468685,5345083,9813768,7240505,7598453,14838958,11709190,12943536,24652726
Sindh,Pre Primary,482462,445885,928347,674233,498797,1173030,1156695,944682,2101377
Sindh,Primary,1061324,962954,2024278,1443938,936395,2380333,2505262,1899349,4404611
Sindh,Middle,533946,493018,1026964,464762,229703,694465,998708,722721,1721429
Sindh,High,323521,289683,613204,258522,112386,370908,582043,402069,984112
Sindh,Higher Secondary,149536,145723,295259,135369,76660,212029,284905,222383,507288
Sindh,Degree,41649,45841,87490,14947,18819,33766,56596,64660,121256
Sindh,Total,2592438,2383104,4975542,2991771,1872760,4864531,5584209,4255864,9840073
KP,Pre Primary,262355,188630,450985,860349,705893,1566242,1122704,894523,2017227
KP,Primary,485177,362379,847556,2004142,1459085,3463227,2489319,1821464,4310783
KP,Middle,235152,159913,395065,842341,475450,1317791,1077493,635363,1712856
KP,High,137742,92141,229883,393661,204630,598291,531403,296771,828174
KP,Higher Secondary,142861,68647,211508,185383,96701,282084,328244,165348,493592
KP,Degree,47964,53613,101577,34862,30102,64964,82826,83715,166541
KP,Total,1311251,925323,2236574,4320738,2971861,7292599,5631989,3897184,9529173
Balochisan,Pre Primary,112056,77068,189124,60829,49276,110105,172885,126344,299229
Balochisan,Primary,287215,199280,486495,198071,143293,341364,485286,342573,827859
Balochisan,Middle,106678,67259,173937,45511,26215,71726,152189,93474,245663
Balochisan,High,53513,35375,88888,21241,10839,32080,74754,46214,120968
Balochisan,Higher Secondary,101996,50250,152246,4912,1661,6573,106908,51911,158819
Balochisan,Degree,29259,15683,44942,25,26,51,29284,15709,44993
Balochisan,Total,690717,444915,1135632,330589,231310,561899,1021306,676225,1697531
AJ&K,Pre Primary,29568,29003,58571,104980,104771,209751,134548,133774,268322
AJ&K,Primary,41452,40449,81901,165431,167344,332775,206883,207793,414676
AJ&K,Middle,21537,21130,42667,69986,69827,139813,91523,90957,182480
AJ&K,High,14337,13399,27736,31127,30289,61416,45464,43688,89152
AJ&K,Higher Secondary,50713,23351,74064,21333,23501,44834,72046,46852,118898
AJ&K,Degree,5135,5394,10529,3564,4521,8085,8699,9915,18614
AJ&K,Total,162742,132726,295468,396421,400253,796674,559163,532979,1092142
GB,Pre Primary,9357,8760,18117,34628,31225,65853,43985,39985,83970
GB,Primary,17822,15039,32861,69912,58881,128793,87734,73920,161654
GB,Middle,10160,7584,17744,29989,26604,56593,40149,34188,74337
GB,High,6864,4474,11338,14209,14464,28673,21073,18938,40011
GB,Higher Secondary,7607,5091,12698,3818,4903,8721,11425,9994,21419
GB,Degree,897,1437,2334,0,0,0,897,1437,2334
GB,Total,52707,42385,95092,152556,136077,288633,205263,178462,383725
ICT,Pre Primary,17294,16289,33583,48032,44281,92313,65326,60570,125896
ICT,Primary,43180,41051,84231,90008,90625,180633,133188,131676,264864
ICT,Middle,25154,25928,51082,39068,43403,82471,64222,69331,133553
ICT,High,15888,16950,32838,20692,23248,43940,36580,40198,76778
ICT,Higher Secondary,18930,21824,40754,10644,14956,25600,29574,36780,66354
ICT,Degree,923,3710,4633,0,204,204,923,3914,4837
ICT,Total,121369,125752,247121,208444,216717,425161,329813,342469,672282
Pakistan,Pre Primary,1665053,1672742,3337795,3259568,3003235,6262803,4924621,4675977,9600598
Pakistan,Primary,3590098,3571266,7161364,7336889,6317483,13654372,10926987,9888749,20815736
Pakistan,Middle,1865724,1846878,3712602,3011781,2483476,5495257,4877505,4330354,9207859
Pakistan,High,1157728,1115655,2273383,1387513,1038495,2426008,2545241,2154150,4699391
Pakistan,Higher Secondary,907905,875711,1783616,568242,473391,1041633,1476147,1349102,2825249
Pakistan,Degree,213401,317036,530437,77031,111351,188382,290432,428387,718819
Pakistan,Grand Total,9399909,9399288,18799197,15641024,13427431,29068455,25040933,22826719,47867652
