Province/Region,Level,URBAN Male,URBAN Female,URBAN Total,RURAL Male,RURAL Female,RURAL Total,TOTAL Male,TOTAL Female,TOTAL Total
Punjab,Pre-Primary,,,,,,,,,
Punjab,Primary,1465,11515,12980,3071,10785,13856,4536,22300,26836
Punjab,Middle,11926,65653,77579,25571,78695,104266,37497,144348,181845
Punjab,High,43620,142946,186566,34192,93234,127426,77812,236180,313992
Punjab,Higher Secondary,11769,23799,35568,8484,20162,28646,20253,43961,64214
Punjab,Inter Colleges,7234,5957,13191,4119,3045,7164,11353,9002,20355
Punjab,Degree Colleges,8281,7193,15474,4282,3566,7848,12563,10759,23322
Punjab,Total,84295,257063,341358,79719,209487,289206,164014,466550,630564
Sindh,Pre-Primary,,,,,,,,,
Sindh,Primary,1079,9960,11039,1243,2895,4138,2322,12855,15177
Sindh,Middle,5461,22476,27937,5322,8427,13749,10783,30903,41686
Sindh,High,33147,115584,148731,4546,8762,13308,37693,124346,162039
Sindh,Higher Secondary,5694,14991,20685,1962,2228,4190,7656,17219,24875
Sindh,Inter Colleges,846,1084,1930,32,15,47,878,1099,1977
Sindh,Degree Colleges,290,530,820,39,7,46,329,537,866
Sindh,Total,46517,164625,211142,13144,22334,35478,59661,186959,246620
KP,Pre-Primary,,,,,,,,,
KP,Primary,1196,4320,5516,3892,4999,8891,5088,9319,14407
KP,Middle,3871,8483,12354,11146,12427,23573,15017,20910,35927
KP,High,8943,14599,23542,19302,16172,35474,28245,30771,59016
KP,Higher Secondary,8597,10547,19144,10227,8475,18702,18824,19022,37846
KP,Inter Colleges,,,,,,,,,
KP,Degree Colleges,6599,1127,7726,1084,92,1176,7683,1219,8902
KP,Total,29206,39076,68282,45651,42165,87816,74857,81241,156098
Balochistan,Pre-Primary,,,,,,,,,
Balochistan,Primary,1125,855,1980,,,,1125,855,1980
Balochistan,Middle,1630,2157,3787,,,,1630,2157,3787
Balochistan,High,4299,3469,7768,,,,4299,3469,7768
Balochistan,Higher Secondary,528,461,989,,,,528,461,989
Balochistan,Inter Colleges,92,98,190,,,,92,98,190
Balochistan,Degree Colleges,16,4,20,,,,16,4,20
Balochistan,Total,7690,7044,14734,,,,7690,7044,14734
AJ&K,Pre-Primary,,,,,,,,,
AJ&K,Primary,,,,,,,,,
AJ&K,Middle,,,,,,,,,
AJ&K,High,,,,,,,,,
AJ&K,Higher Secondary,5896,17366,23262,1886,5576,7462,7782,22942,30724
AJ&K,Inter Colleges,2389,2185,4574,1025,989,2014,3414,3174,6588
AJ&K,Degree Colleges,456,359,815,,,,456,359,815
AJ&K,Total,8741,19910,28651,2911,6565,9476,11652,26475,38127
GB,Pre-Primary,,,,,,,,,
GB,Primary,133,558,691,591,959,1550,724,1517,2241
GB,Middle,266,871,1137,797,1261,2058,1063,2132,3195
GB,High,437,834,1271,758,1217,1975,1195,2051,3246
GB,Higher Secondary,479,378,857,439,651,1090,918,1029,1947
GB,Inter Colleges,,,,,,,,,
GB,Degree Colleges,,,,,,,,,
GB,Total,1315,2641,3956,2585,4088,6673,3900,6729,10629
ICT,Pre-Primary,,,,,,,,,
ICT,Primary,88,1266,1354,210,2513,2723,298,3779,4077
ICT,Middle,169,1298,1467,554,5491,6045,723,6789,7512
ICT,High,144,1405,1549,916,5819,6735,1060,7224,8284
ICT,Higher Secondary,477,2626,3103,1052,3063,4115,1529,5689,7218
ICT,Inter Colleges,,,,,,,,,
ICT,Degree Colleges,,,,,,,,,
ICT,Total,878,6595,7473,2732,16886,19618,3610,23481,27091
Pakistan,Pre-Primary,,,,,,,,,
Pakistan,Primary,5086,28474,33560,9007,22151,31158,14093,50625,64718
Pakistan,Middle,23323,100938,124261,43390,106301,149691,66713,207239,273952
Pakistan,High,90590,278837,369427,59714,125204,184918,150304,404041,554345
Pakistan,Higher Secondary,33440,70168,103608,24050,40155,64205,57490,110323,167813
Pakistan,Inter Colleges,10561,9324,19885,5176,4049,9225,15737,13373,29110
Pakistan,Degree Colleges,15642,9213,24855,5405,3665,9070,21047,12878,33925
Grand Total,Grand Total,178642,496954,675596,146742,301525,448267,325384,798479,1123863
