Province/Region,Level,URBAN Male,URBAN Female,URBAN Total,RURAL Male,RURAL Female,RURAL Total,TOTAL Male,TOTAL Female,TOTAL Total
Punjab,Primary,4580,11476,16056,39860,49566,89426,44440,61042,105482
Punjab,Middle,3401,7717,11118,20939,33458,54397,24340,41175,65515
Punjab,High,18913,27369,46282,47569,45189,92758,66482,72558,139040
Punjab,Higher Secondary,4061,5596,9657,6484,6861,13345,10545,12457,23002
Punjab,Inter Colleges,3934,4427,8361,1439,1971,3410,5373,6398,11771
Punjab,Degree Colleges,2485,3209,5694,764,833,1597,3249,4042,7291
Punjab,Total,37374,59794,97168,117055,137878,254933,154429,197672,352101
Sindh,Primary,10513,11736,22249,55752,15200,70952,66265,26936,93201
Sindh,Middle,2293,2775,5068,11008,4081,15089,13301,6856,20157
Sindh,High,9556,11362,20918,12926,4771,17697,22482,16133,38615
Sindh,Higher Secondary,2692,3835,6527,8045,2083,10128,10737,5918,16655
Sindh,Inter Colleges,,,5665,,,2132,,,7797
Sindh,Degree Colleges,,,,,,,,,
Sindh,Total,25054,29708,60427,87731,26135,115998,112785,55843,176425
KP,Primary,5251,5348,10599,58679,32462,91141,63930,37810,101740
KP,Middle,963,1009,1972,10859,8188,19047,11822,9197,21019
KP,High,4042,3095,7137,22299,10504,32803,26341,13599,39940
KP,Higher Secondary,3378,2839,6217,13864,5869,19733,17242,8708,25950
KP,Inter Colleges,,,,,,,,,
KP,Degree Colleges,2699,1781,4480,2803,2072,4875,5502,3853,9355
KP,Total,16333,14072,30405,108504,59095,167599,124837,73167,198004
Balochistan,Primary,3520,1902,5422,5769,2874,8643,9289,4776,14065
Balochistan,Middle,2998,1975,4973,4435,2227,6662,7433,4202,11635
Balochistan,High,7949,5123,13072,7633,2858,10491,15582,7981,23563
Balochistan,Higher Secondary,1369,1803,3172,1310,444,1754,2679,2247,4926
Balochistan,Inter Colleges,498,149,647,,,,498,149,647
Balochistan,Degree Colleges,1974,1186,3160,,,,1974,1186,3160
Balochistan,Total,18308,12138,30446,19147,8403,27550,37455,20541,57996
AJ&K,Primary,224,228,452,3215,2657,5872,3439,2885,6324
AJ&K,Middle,302,461,763,4295,3260,7555,4597,3721,8318
AJ&K,High,713,617,1330,5866,4321,10187,6579,4938,11517
AJ&K,Higher Secondary,78,152,230,1073,1251,2324,1151,1403,2554
AJ&K,Inter Colleges,47,38,85,509,486,995,556,524,1080
AJ&K,Degree Colleges,147,161,308,831,803,1634,978,964,1942
AJ&K,Total,1511,1657,3168,15789,12778,28567,17300,14435,31735
GB,Primary,74,494,568,1257,1137,2394,1331,1631,2962
GB,Middle,120,290,410,1036,523,1559,1156,813,1969
GB,High,239,363,602,1768,769,2537,2007,1132,3139
GB,Higher Secondary,78,143,221,213,162,375,291,305,596
GB,Inter Colleges,43,,43,67,16,83,110,16,126
GB,Degree Colleges,206,131,337,8,,8,214,131,345
GB,Total,760,1421,2181,4349,2607,6956,5109,4028,9137
ICT,Primary,1,905,906,424,553,977,425,1458,1883
ICT,Middle,11,205,216,177,287,464,188,492,680
ICT,High,293,512,805,513,573,1086,806,1085,1891
ICT,Higher Secondary,146,175,321,195,662,857,341,837,1178
ICT,Inter Colleges,,,,,,,,,
ICT,Degree Colleges,620,1434,2054,61,178,239,681,1612,2293
ICT,Total,1071,3231,4302,1370,2253,3623,2441,5484,7925
Pakistan,Primary,24163,32089,56252,164956,104449,269405,189119,136538,325657
Pakistan,Middle,10088,14432,24520,52749,52024,104773,62837,66456,129293
Pakistan,High,41705,48441,90146,98574,68985,167559,140279,117426,257705
Pakistan,Higher Secondary,11802,14543,26345,31184,17332,48516,42986,31875,74861
Pakistan,Inter Colleges,4522,4614,14801,2015,2473,6620,6537,7087,21421
Pakistan,Degree Colleges,8131,7902,16033,4467,3886,8353,12598,11788,24386
Grand Total,Grand Total,100411,122021,228097,353945,249149,605226,454356,371170,833323
