Province/Region,Level,URBAN Male,URBAN Female,URBAN Total,RURAL Male,RURAL Female,RURAL Total,TOTAL Male,TOTAL Female,TOTAL Total
Punjab,Pre-Primary,6,345,351,19,1177,1196,25,1522,1547
Punjab,Primary,6179,24325,30504,43407,64897,108304,49586,89222,138808
Punjab,Middle,17538,88173,105711,47326,120613,167939,64864,208786,273650
Punjab,High,65017,176527,241544,81995,139728,221723,147012,316255,463267
Punjab,Higher Secondary,17113,31465,48578,15184,27477,42661,32297,58942,91239
Punjab,Inter Colleges,11168,10384,21552,5558,5016,10574,16726,15400,32126
Punjab,Degree Colleges,10766,10402,21168,5046,4399,9445,15812,14801,30613
Punjab,Total,127787,341621,469408,198535,363307,561842,326322,704928,1031250
Sindh,Pre-Primary,7,596,603,6,54,60,13,650,663
Sindh,Primary,11695,23234,34929,57080,18232,75312,68775,41466,110241
Sindh,Middle,8517,26560,35077,16394,12555,28949,24911,39115,64026
Sindh,High,43107,127883,170990,17532,13552,31084,60639,141435,202074
Sindh,Higher Secondary,8755,19187,27942,10007,4311,14318,18762,23498,42260
Sindh,Inter Colleges,846,1084,7595,32,15,2179,878,1099,9774
Sindh,Degree Colleges,290,530,820,39,7,46,329,537,866
Sindh,Total,73217,199074,277956,101090,48726,151948,174307,247800,429904
KP,Pre-Primary,5,101,106,4,315,319,9,416,425
KP,Primary,6481,9908,16389,62641,38210,100851,69122,48118,117240
KP,Middle,4923,9890,14813,22198,21098,43296,27121,30988,58109
KP,High,13481,18422,31903,41820,27099,68919,55301,45521,100822
KP,Higher Secondary,12308,13541,25849,24200,14425,38625,36508,27966,64474
KP,Inter Colleges,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KP,Degree Colleges,9298,2908,12206,3887,2164,6051,13185,5072,18257
KP,Total,46496,54770,101266,154750,103311,258061,201246,158081,359327
Balochistan,Pre-Primary,NaN,33,33,14,85,99,14,118,132
Balochistan,Primary,4645,2882,7527,6095,3190,9285,10740,6072,16812
Balochistan,Middle,4741,4586,9327,4537,2227,6764,9278,6813,16091
Balochistan,High,12377,8795,21172,7829,2975,10804,20206,11770,31976
Balochistan,Higher Secondary,2004,2317,4321,1310,444,1754,3314,2761,6075
Balochistan,Inter Colleges,590,247,837,NaN,NaN,NaN,590,247,837
Balochistan,Degree Colleges,1990,1190,3180,NaN,NaN,NaN,1990,1190,3180
Balochistan,Total,26347,20050,46397,19785,8921,28706,46132,28971,75103
AJ&K,Pre-Primary,NaN,71,71,NaN,54,54,NaN,125,125
AJ&K,Primary,224,398,622,3225,2787,6012,3449,3185,6634
AJ&K,Middle,302,461,763,4357,3667,8024,4659,4128,8787
AJ&K,High,713,922,1635,5980,4363,10343,6693,5285,11978
AJ&K,Higher Secondary,6072,17582,23654,2959,6827,9786,9031,24409,33440
AJ&K,Inter Colleges,2436,2223,4659,1534,1475,3009,3970,3698,7668
AJ&K,Degree Colleges,603,520,1123,831,803,1634,1434,1323,2757
AJ&K,Total,10350,22177,32527,18886,19976,38862,29236,42153,71389
GB,Pre-Primary,NaN,NaN,NaN,NaN,35,35,NaN,35,35
GB,Primary,207,1052,1259,1885,2211,4096,2092,3263,5355
GB,Middle,386,1161,1547,1869,1893,3762,2255,3054,5309
GB,High,676,1197,1873,2569,2013,4582,3245,3210,6455
GB,Higher Secondary,586,521,1107,665,841,1506,1251,1362,2613
GB,Inter Colleges,43,NaN,43,67,16,83,110,16,126
GB,Degree Colleges,206,131,337,8,NaN,8,214,131,345
GB,Total,2104,4062,6166,7063,7009,14072,9167,11071,20238
ICT,Pre-Primary,3,224,227,NaN,17,17,3,241,244
ICT,Primary,99,2612,2711,642,3100,3742,741,5712,6453
ICT,Middle,180,1503,1683,783,6053,6836,963,7556,8519
ICT,High,494,2032,2526,1592,6823,8415,2086,8855,10941
ICT,Higher Secondary,687,3068,3755,1276,3771,5047,1963,6839,8802
ICT,Inter Colleges,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ICT,Degree Colleges,620,1434,2054,61,178,239,681,1612,2293
ICT,Total,2083,10873,12956,4354,19942,24296,6437,30815,37252
Pakistan,Pre-Primary,21,1370,1391,43,1737,1780,64,3107,3171
Pakistan,Primary,29530,64411,93941,174975,132627,307602,204505,197038,401543
Pakistan,Middle,36587,132334,168921,97464,168106,265570,134051,300440,434491
Pakistan,High,135865,335778,471643,159317,196553,355870,295182,532331,827513
Pakistan,Higher Secondary,47525,87681,135206,55601,58096,113697,103126,145777,248903
Pakistan,Inter Colleges,15083,13938,34686,7191,6522,15845,22274,20460,50531
Pakistan,Degree Colleges,23773,17115,40888,9872,7551,17423,33645,24666,58311
Pakistan,Grand Total,288384,652627,946676,504463,571192,1077787,792847,1223819,2024463
