"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2025",".18","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2025","2.36","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2024","1.97","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2024","1.55","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2024","7.41","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2024","3.99","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2023","5.95","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2023","8.27","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2023","1.61","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2023","3.93","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2022","3.4","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2022",".1","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2022","4.34","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2022","4.21","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2021","3.76","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2021","4.51","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2021","2.46","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2021","4.4","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2020","3.63","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2020","3.6","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Jun-2020","3.27","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Mar-2020","4.45","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","31-Dec-2019","4.48","Percent","Normal",""
"Quarterly GDP at Constant Basic Prices of 2015-16","TS_GP_RS_QGDP1516_Q.QGDP00020000","Growth Rate Agriculture Sector","30-Sep-2019","3.49","Percent","Normal",""
