"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","30-Sep-2025","TS_GP_ER_REERNEER_M.N00010","a. NEER (Base 2010=100)","37.7662131","Index","Normal","","10","Nominal Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","30-Sep-2025","TS_GP_ER_REERNEER_M.R00010","b. REER (Base 2010=100)","101.7324695","Index","Normal","","20","Real Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","30-Sep-2025","TS_GP_ER_REERNEER_M.N00020","c. NEER (Base 2010=100):  MOM Changes","-.207457315","Percent","Normal","","30","NEER : Percentage Change over  Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","30-Sep-2025","TS_GP_ER_REERNEER_M.R00020","d. REER (Base 2010=100): MOM Changes","1.640134654","Percent","Normal","","40","REER : Percentage Change over Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Aug-2025","TS_GP_ER_REERNEER_M.N00010","a. NEER (Base 2010=100)","37.84472475","Index","Normal","","10","Nominal Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Aug-2025","TS_GP_ER_REERNEER_M.R00010","b. REER (Base 2010=100)","100.0908449","Index","Normal","","20","Real Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Aug-2025","TS_GP_ER_REERNEER_M.N00020","c. NEER (Base 2010=100):  MOM Changes",".901602674","Percent","Normal","","30","NEER : Percentage Change over  Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Aug-2025","TS_GP_ER_REERNEER_M.R00020","d. REER (Base 2010=100): MOM Changes",".081487763","Percent","Normal","","40","REER : Percentage Change over Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Jul-2025","TS_GP_ER_REERNEER_M.N00010","a. NEER (Base 2010=100)","37.50656457","Index","Normal","","10","Nominal Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Jul-2025","TS_GP_ER_REERNEER_M.R00010","b. REER (Base 2010=100)","100.0091728","Index","Normal","","20","Real Effective Exchange Rate Base 2010"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","31-Jul-2025","TS_GP_ER_REERNEER_M.N00020","c. NEER (Base 2010=100):  MOM Changes","-.574826726","Percent","Normal","","30","NEER : Percentage Change over  Month"
