"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2025","3427","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2025","3173","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2025","3504","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2025","3292","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2025","3168","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2025","3357","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2025","3535","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2025","3304","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2025","3682","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2024","3914","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2024","3455","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2024","3706","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2024","3278","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2024","3060","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2024","2997","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2024","3088","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2024","3712","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2024","3294","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2024","3232","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","29-Feb-2024","3154","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2024","3356","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2023","3525","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2023","3327","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2023","3328","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2023","2993","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2023","3032","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2023","2630","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2023","2702","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2023","3203","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2023","2689","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2023","3088","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2023","2790","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2023","2908","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2022","3088","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2022","2997","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2022","2903","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2022","3003","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2022","3340","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2022","2761","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2022","3794","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2022","3020","Million USD","Normal",""
