"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2025","1955.442783","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2024","3677.679942","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2023","2232.348833","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2022","1597","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2021","2080","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2020","6321","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2019","2177","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2018","1648","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2017","1361","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2016","938","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2015","1317","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2014","1646","Million PKR","Normal",""
"Pakistan’s Balance of Payments (FY 2013 - Onwards) (PKR)","TS_GP_ES_PKBPM13_Y.BOPR13200185","Net export Goods merchant.-Net","30-Jun-2013","1257","Million PKR","Normal",""
