"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2025","1790.59355","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2024","818.902056","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2023","940.991666","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2022","756.571752","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2021","1240.93999","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2020","724.553538","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2019","1422.82428","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2018","714.225505","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2017","704.209404","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2016","863.409531","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2015","1809.115346","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2014","1148.792669","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2013","1208.888025","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2012","1278.315994","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2011","634.841772","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2010","1033.539967","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2009","759.506217","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2008","235.124848","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2007","262.301912","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2006","195.147065","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2005","59.837651","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2004","74.830928","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2003","50.736298","Million USD","Normal",""
"Summary of Foreign Investment in Pakistan (FY 1949 - Onwards)","TS_GP_FI_SUMFIPK49_Y.FI00030","FDI Outflow","30-Jun-2002","24.722921","Million USD","Normal",""
