"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Sep-2025","3183.749768","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Aug-2025","3138.174787","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jul-2025","3214.514462","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Jun-2025","3406.389361","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-May-2025","3685.588476","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Apr-2025","3176.928508","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Mar-2025","4053.579523","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","28-Feb-2025","3126.670931","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jan-2025","3003.375873","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Dec-2024","3080.397524","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Nov-2024","2915.348668","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Oct-2024","3054.550962","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Sep-2024","2859.516117","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Aug-2024","2942.812184","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jul-2024","2993.99974","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Jun-2024","3158.138862","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-May-2024","3242.226877","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Apr-2024","2813.267052","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Mar-2024","2953.980816","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","29-Feb-2024","2250.147228","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jan-2024","2397.870065","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Dec-2023","2381.853131","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Nov-2023","2258.544029","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Oct-2023","2463.117162","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Sep-2023","2208.130749","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Aug-2023","2094.507416","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jul-2023","2029.041389","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Jun-2023","2187.080838","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-May-2023","2102.666259","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Apr-2023","2198.302053","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Mar-2023","2536.682781","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","28-Feb-2023","1990.345686","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jan-2023","1900.087935","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Dec-2022","2099.787498","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Nov-2022","2173.036496","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Oct-2022","2247.62424","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Sep-2022","2487.225612","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Aug-2022","2815.673902","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jul-2022","2594.295739","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Jun-2022","2789.577806","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-May-2022","2346.240221","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Apr-2022","3124.369515","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Mar-2022","2834.767043","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","28-Feb-2022","2196.168428","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jan-2022","2180.433945","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Dec-2021","2520.352433","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Nov-2021","2459.709253","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Oct-2021","2628.586368","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Sep-2021","2779.892769","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Aug-2021","2682.62743","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jul-2021","2736.077681","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Jun-2021","2714.234446","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-May-2021","2506.658351","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","30-Apr-2021","2792.557929","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Mar-2021","2723.218474","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","28-Feb-2021","2260.322735","Million USD","Normal",""
"Seasonally Adjusted Workers’ Remittances","TS_GP_ES_SWR_M.SWR0001","Workers Remittances (WR)","31-Jan-2021","2268.742601","Million USD","Normal",""
