Name of Grid Station,Voltage (kv),Power T/F capacity (MVA),Maximum Load on Incoming (Amp),Name of Outgoing 11Kv,2011,2012,2013,2014,2015,Maxi Recorded amp  Overall,Maxi Recorded amp (Dated &time),Osprey,Dog,Rabbit,Gopher,Total,Commercial: No,Commercial: Load(KW),Industrial: No,Industrial: Load(KW), T/Well No,T/Well Load(KW),Others No,Others Load(KW),Total No.,Total Load (KW),%age Losses Technical (2013),%age Losses Administrative (2013),%age Losses  As Per Output 2013,25,50,100,200,400,630,25 (KVA),50 (KVA),100 (KVA),200 (KVA),400 (KVA),630 (KVA),Total KVA  Connected
Nur Pur Sethi,132 KV,T-2 (10/13),440,K. Kahar,190,200,200,220,230,230,19/6/2015 (12:00:00 PM),0,34.1,81.5,0,115.5,500,1260,48,1510,19,250,0,0,6816,12171,17.7,2,19.7,88,60,27,12,1,1,2200,3000,2700,2400,400,630,11330
Nur Pur Sethi,132 KV,T-2(10/13),440,Miani,150,170,160,200,210,210,19/6/2015 (12:00:00 PM),0,18.2,82.7,0,100.9,620,1305,38,1360,29,390,0,0,7815,10480,11.1,3,14.1,66,52,24,2,1,-,1650,2600,2400,400,400,-,7450
Nur Pur Sethi,132 KV,T-2(10/13),440,Munan,150,170,190,200,200,200,19/6/2015 (12:00:00 PM),0,10.6,56.9,1.87,69.4,550,1315,46,1490,21,250,0,0,8106,12047,6.1,4.4,10.5,49,49,24,10,-,-,1225,2450,2400,2000,-,-,8075
Nur Pur Sethi,132 KV,T-3 (10/13),370,I/Camp,20,30,30,30,35,35,12/8/2015 (9:00:00 PM),15.6,0,0,0,15.6,0,0,0,0,0,0,1,3750,1,3750,0,0,1.8,-,-,-,25,-,-,-,-,-,5000,-,-,5000
Nur Pur Sethi,132 KV,T-3 (10/13),370,Padhrar,100,150,130,150,180,180,11/6/2015 (2:00:00 PM),_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Pinanwal,132KV,T-3 (10/13),320,C.W.O,15,20,30,15,20,30,12/6/2013 (11:00:00 AM),22.8,0,0,0,22.8,0,0,0,0,0,0,1,713,1,713,0,0,-1.5,-,2,3,-,-,-,-,100,300,-,-,-,400
Pinanwal,132 KV,T-3 (10/13),320,Maj Riaz,220,260,320,330,320,330,6/8/2014 (5:00:00 PM),11.5,2.5,88.5,0,102.5,597,1068,15,26,45,495,1,3,10339,11808,8,2.5,10.5,15,82,25,5,-,-,375,4100,2500,1000,-,-,7975
Pinanwal,132 KV,T-4  (10/13),560,Rawal,240,250,240,240,260,260,5/7/2015 (1:00:00 PM),0,8.5,70.5,10.53,89.5,780,1145,20,1118,21,229,2,152,10065,13915,3,6,9,39,78,42,6,-,-,975,3900,4200,1200,-,-,10275
Pinanwal,132 KV,T-4  (10/13),560,Sagarpur,230,280,330,340,380,380,7/8/2015 (8:00:00 PM),4.2,3.8,56.1,0,64.1,1132,1520,12,524,20,776,1,2,11009,13516,6,6.9,12.9,18,61,28,8,-,-,450,3050,2800,1600,-,-,7900
Talagang,132 KV,T-3 (10/13),550,T/Gang Cit,210,260,260,260,250,260,14/7/2014 (2:00:00 PM),0,8.4,26.7,0,35.1,895,1476,29,58,12,149,2,6,6574,12397,13.1,3.4,9.7,17,37,13,7,-,-,425,1850,1300,1400,-,-,4975
Talagang,132 KV,T-4 (20/26),1290,Jaltla,240,330,330,330,340,340,4/7/2015 (9:00:00 AM),0,0,288.9,0,288.9,389,681,46,124,23,287,1,5,8328,15261,16.3,2.9,19.2,79,63,17,1,-,-,1975,3150,1700,200,-,-,7025
Talagang,132 KV,T-4 (20/26),1290,Dharabi,170,230,240,240,230,240,10/6/2013 (7:00:00 PM),0,9.1,112.6,0,121.7,735,1396,39,76,19,244,1,2,4549,8477,9.3,4,13.3,67,52,17,6,-,-,1675,2600,1700,1200,-,-,7175
