Date,Year,Month,Forecast_USD,Forecast_Thousand_USD
2025-10-31,2025,October,103378376.0,103378.375
2025-11-30,2025,November,103815910.0,103815.914
2025-12-31,2025,December,105210560.0,105210.56
2026-01-31,2026,January,107163840.0,107163.84
2026-02-28,2026,February,111186870.0,111186.875
2026-03-31,2026,March,115317530.0,115317.53
2026-04-30,2026,April,124798610.0,124798.61
2026-05-31,2026,May,124527624.0,124527.625
2026-06-30,2026,June,125309840.0,125309.84
2026-07-31,2026,July,128594010.0,128594.01
2026-08-31,2026,August,112835010.0,112835.01
2026-09-30,2026,September,87771660.0,87771.664
2026-10-31,2026,October,70779680.0,70779.68
2026-11-30,2026,November,62065148.0,62065.15
2026-12-31,2026,December,55690372.0,55690.37
2027-01-31,2027,January,63180100.0,63180.1
2027-02-28,2027,February,74516550.0,74516.555
2027-03-31,2027,March,71810070.0,71810.07
2027-04-30,2027,April,56870296.0,56870.297
2027-05-31,2027,May,60223090.0,60223.09
2027-06-30,2027,June,77209976.0,77209.98
2027-07-31,2027,July,93003350.0,93003.35
2027-08-31,2027,August,99612520.0,99612.52
2027-09-30,2027,September,69466680.0,69466.68
2027-10-31,2027,October,70870220.0,70870.23
2027-11-30,2027,November,77614110.0,77614.11
2027-12-31,2027,December,90625550.0,90625.555
2028-01-31,2028,January,108275990.0,108275.99
2028-02-29,2028,February,121854744.0,121854.74
2028-03-31,2028,March,129852680.0,129852.68
2028-04-30,2028,April,130884620.0,130884.625
2028-05-31,2028,May,117057100.0,117057.1
2028-06-30,2028,June,107206110.0,107206.11
2028-07-31,2028,July,103095140.0,103095.13
2028-08-31,2028,August,105994270.0,105994.27
2028-09-30,2028,September,108467390.0,108467.39
2028-10-31,2028,October,109805230.0,109805.234
2028-11-30,2028,November,111152296.0,111152.3
2028-12-31,2028,December,112694970.0,112694.97
2029-01-31,2029,January,114338650.0,114338.65
2029-02-28,2029,February,116309336.0,116309.336
2029-03-31,2029,March,118384180.0,118384.18
2029-04-30,2029,April,120811110.0,120811.11
2029-05-31,2029,May,123262860.0,123262.87
2029-06-30,2029,June,123449220.0,123449.22
2029-07-31,2029,July,121650630.0,121650.63
2029-08-31,2029,August,116773990.0,116773.99
2029-09-30,2029,September,105712664.0,105712.664
2029-10-31,2029,October,108595000.0,108595.0
2029-11-30,2029,November,128558730.0,128558.73
2029-12-31,2029,December,161168590.0,161168.6
2030-01-31,2030,January,189061810.0,189061.81
2030-02-28,2030,February,206582350.0,206582.36
2030-03-31,2030,March,213974160.0,213974.16
2030-04-30,2030,April,210658720.0,210658.72
2030-05-31,2030,May,198189330.0,198189.33
2030-06-30,2030,June,195468600.0,195468.61
2030-07-31,2030,July,200225760.0,200225.77
2030-08-31,2030,August,200834690.0,200834.69
2030-09-30,2030,September,188811420.0,188811.42
